"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion","synonym"
"Acerodon mackloti","LR/lc","VU","G","2008","Acerodon mackloti"
"Eidolon helvum","LC","NT","G","2008","Eidolon helvum"
"Megaerops wetmorei","LR/lc","VU","G","2008","Megaerops wetmorei"
"Pteropus caniceps","LR/lc","NT","G","2008","Pteropus caniceps"
"Pteropus lylei","LR/lc","VU","G","2008","Pteropus lylei"
"Pteropus melanopogon","LR/lc","EN","G","2008","Pteropus melanopogon"
"Pteropus niger","VU","EN","G","2008","Pteropus niger"
"Pteropus temminckii","LR/nt","VU","G","2008","Pteropus temminckii"
"Pteropus vampyrus","LR/lc","NT","G","2008","Pteropus vampyrus"
"Pteropus woodfordi","LR/lc","VU","G","2008","Pteropus woodfordi"
"Rousettus bidens","LR/nt","VU","G","2008","Rousettus bidens"
"Styloctenium wallacei","LR/nt","VU","G","2008","Styloctenium wallacei"
"Rhinolophus cognatus","VU","EN","G","2008","Rhinolophus cognatus"
"Rhinolophus sedulus","LR/lc","NT","G","2008","Rhinolophus sedulus"
"Corynorhinus mexicanus","LR/lc","NT","G","2008","Corynorhinus mexicanus"
"Hesperoptenus tomesi","LR/lc","VU","G","2008","Hesperoptenus tomesi"
"Kerivoula pellucida","LR/lc","NT","G","2008","Kerivoula pellucida"
"Murina aenea","LR/nt","VU","G","2008","Murina aenea"
"Murina rozendaali","LR/nt","VU","G","2008","Murina rozendaali"
"Phoniscus atrox","LR/lc","NT","G","2008","Phoniscus atrox"
"Rhogeessa minutilla","LR/nt","VU","G","2008","Rhogeessa minutilla"
"Dasyurus hallucatus","LR/nt","EN","G","2008","Dasyurus hallucatus"
"Pseudantechinus bilarni","LR/lc","NT","G","2008","Pseudantechinus bilarni"
"Sarcophilus harrisii","LR/lc","EN","G","2008","Sarcophilus harrisii"
"Myrmecobius fasciatus","VU","EN","G","2008","Myrmecobius fasciatus"
"Burramys parvus","EN","CR","G","2008","Burramys parvus"
"Dendrolagus mbaiso","VU","CR","G","2008","Dendrolagus mbaiso"
"Dendrolagus scottae","EN","CR","G","2008","Dendrolagus scottae"
"Dorcopsis luctuosa","LR/lc","VU","G","2008","Dorcopsis luctuosa"
"Dorcopsulus vanheurni","LR/lc","NT","G","2008","Dorcopsulus vanheurni"
"Petaurus abidi","VU","CR","G","2008","Petaurus abidi"
"Phalanger lullulae","LR/lc","EN","G","2008","Phalanger lullulae"
"Phalanger matanim","EN","CR","G","2008","Phalanger matanim"
"Spilocuscus kraemeri","LR/lc","NT","G","2008","Spilocuscus kraemeri"
"Spilocuscus rufoniger","EN","CR","G","2008","Spilocuscus rufoniger"
"Bettongia penicillata","LR/cd","CR","G","2008","Bettongia penicillata"
"Pseudochirops coronatus","LR/lc","VU","G","2008","Pseudochirops coronatus"
"Ochotona iliensis","VU","EN","G","2008","Ochotona iliensis"
"Equus hemionus","VU","EN","G","2008","Equus bahram"
"Equus hemionus","VU","EN","G","2008","Equus bedfordi"
"Equus hemionus","VU","EN","G","2008","Equus blanfordi"
"Equus hemionus","VU","EN","G","2008","Equus castaneus"
"Equus hemionus","VU","EN","G","2008","Equus dzigguetai"
"Equus hemionus","VU","EN","G","2008","Equus ferus"
"Equus hemionus","VU","EN","G","2008","Equus finschi"
"Equus hemionus","VU","EN","G","2008","Equus hamar"
"Equus hemionus","VU","EN","G","2008","Equus hemionos"
"Equus hemionus","VU","EN","G","2008","Equus hemippus."
"Equus hemionus","VU","EN","G","2008","Equus indicus"
"Equus hemionus","VU","EN","G","2008","Equus khur"
"Equus hemionus","VU","EN","G","2008","Equus kulan"
"Equus hemionus","VU","EN","G","2008","Equus luteus"
"Equus hemionus","VU","EN","G","2008","Equus onager"
"Equus hemionus","VU","EN","G","2008","Equus syriacus"
"Equus hemionus","VU","EN","G","2008","Equus typicus"
"Equus hemionus","VU","EN","G","2008","Equus hemionus"
"Manis javanica","LR/nt","EN","G","2008","Manis javanica"
"Manis pentadactyla","LR/nt","EN","G","2008","Manis pentadactyla"
"Saguinus niger","LC","VU","G","2008","Saguinus niger"
"Macaca hecki","LR/nt","VU","G","2008","Macaca hecki"
"Macaca nigra","EN","CR","G","2008","Macaca nigra"
"Macaca tonkeana","LR/nt","VU","G","2008","Macaca tonkeana"
"Presbytis melalophos","LR/nt","EN","G","2008","Presbytis melalophos"
"Presbytis thomasi","LR/nt","VU","G","2008","Presbytis thomasi"
"Pygathrix cinerea","EN","CR","G","2008","Pygathrix cinerea"
"Trachypithecus obscurus","LR/lc","NT","G","2008","Trachypithecus obscurus"
"Hylobates agilis","LR/nt","EN","G","2008","Hylobates agilis"
"Hylobates albibarbis","LR/nt","EN","G","2008","Hylobates albibarbis"
"Hylobates klossii","VU","EN","G","2008","Hylobates klossii"
"Hylobates lar","LR/nt","EN","G","2008","Hylobates lar"
"Hylobates muelleri","LR/nt","EN","G","2008","Hylobates muelleri"
"Nomascus concolor","EN","CR","G","2008","Nomascus concolor"
"Symphalangus syndactylus","LR/nt","EN","G","2008","Symphalangus syndactylus"
"Nycticebus coucang","LR/lc","VU","G","2008","Nycticebus coucang"
"Tarsius bancanus","LR/lc","VU","G","2008","Tarsius bancanus"
