"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion","synonym"
"Pseudanodonta complanata","LR/nt","VU","G","2011","Pseudanodonta complanata"
"Renea bourguignatiana","VU","CR","G","2011","Renea bourguignatiana"
"Suboestophora altamirai","LR/nt","VU","G","2011","Oestophora altamirai"
"Suboestophora altamirai","LR/nt","VU","G","2011","Suboestophora altamirai"
"Suboestophora hispanica","LR/nt","VU","G","2011","Helicodonta hispanica"
"Suboestophora hispanica","LR/nt","VU","G","2011","Suboestophora hispanica"
"Theba arinagae","VU","CR","G","2011","Theba arinagae"
"Xerocrassa montserratensis","LR/nt","EN","G","2011","Helix montserratensis"
"Xerocrassa montserratensis","LR/nt","EN","G","2011","Trochoidea montserratensis"
"Xerocrassa montserratensis","LR/nt","EN","G","2011","Xerocrassa montserratensis"
"Xerotricha gasulli","LR/nt","EN","G","2011","Helicella gasulli"
"Xerotricha gasulli","LR/nt","EN","G","2011","Xerotricha gasulli"
"Centranthus trinervis","CR","EN","G","2011","Valeriana trinervis"
"Centranthus trinervis","CR","EN","G","2011","Centranthus trinervis"
"Silene hicesiae","CR","VU","G","2011","Silene hicesiae"
"Abies pinsapo","LR/nt","EN","G","2011","Abies pinsapo"
"Glyptostrobus pensilis","EN","CR","G","2011","Glyptostrobus pensilis"
"Taxus contorta","VU","EN","G","2011","Taxus contorta"
"Eumetopias jubatus","EN","NT","G","2012","Eumetopias jubatus"
"Accipiter poliogaster","LC","NT","G","2012","Accipiter poliogaster"
"Agamia agami","LC","VU","G","2012","Agamia agami"
"Amazona festiva","LC","VU","G","2012","Amazona festiva"
"Amazona kawalli","LC","NT","G","2012","Amazona kawalli"
"Amytornis housei","LC","NT","G","2012","Amytornis housei"
"Amytornis merrotsyi","LC","NT","G","2012","Amytornis merrotsyi"
"Aphelocoma insularis","NT","VU","G","2012","Aphelocoma insularis"
"Arremon castaneiceps","LC","NT","G","2012","Arremon castaneiceps"
"Asthenes helleri","LC","VU","G","2012","Asthenes helleri"
"Atrichornis clamosus","VU","EN","G","2012","Atrichornis clamosus"
"Atrichornis rufescens","VU","EN","G","2012","Atrichornis rufescens"
"Aythya baeri","EN","CR","G","2012","Aythya baeri"
"Cacicus koepckeae","VU","EN","G","2012","Cacicus koepckeae"
"Calidris pusilla","LC","NT","G","2012","Calidris pusilla"
"Capito dayi","LC","VU","G","2012","Capito dayi"
"Cercomacra carbonaria","NT","CR","G","2012","Cercomacra carbonaria"
"Clangula hyemalis","LC","VU","G","2012","Clangula hyemalis"
"Conirostrum bicolor","LC","NT","G","2012","Conirostrum bicolor"
"Conirostrum margaritae","LC","VU","G","2012","Conirostrum margaritae"
"Conopias cinchoneti","LC","VU","G","2012","Conopias cinchoneti"
"Cranioleuca curtata","LC","VU","G","2012","Cranioleuca curtata"
"Cranioleuca marcapatae","LC","VU","G","2012","Cranioleuca marcapatae"
"Cranioleuca muelleri","LC","EN","G","2012","Cranioleuca muelleri"
"Crax alector","LC","VU","G","2012","Crax alector"
"Crypturellus atrocapillus","LC","NT","G","2012","Crypturellus atrocapillus"
"Crypturellus duidae","LC","NT","G","2012","Crypturellus duidae"
"Cyanolyca viridicyanus","LC","NT","G","2012","Cyanolyca viridicyanus"
"Cyanoramphus cookii","EN","CR","G","2012","Cyanoramphus cookii"
"Dasyornis longirostris","VU","EN","G","2012","Dasyornis longirostris"
"Deconychura longicauda","LC","NT","G","2012","Deconychura longicauda"
"Dendrocolaptes hoffmannsi","LC","VU","G","2012","Dendrocolaptes hoffmannsi"
"Dendroplex kienerii","LC","NT","G","2012","Dendroplex kienerii"
"Discosura popelairii","LC","NT","G","2012","Discosura popelairii"
"Dysithamnus leucostictus","LC","VU","G","2012","Dysithamnus leucostictus"
"Erythrura gouldiae","EN","NT","G","2012","Erythrura gouldiae"
"Eubucco versicolor","LC","NT","G","2012","Eubucco versicolor"
"Falco deiroleucus","LC","NT","G","2012","Falco deiroleucus"
"Geophaps smithii","NT","VU","G","2012","Geophaps smithii"
"Geotrygon saphirina","LC","VU","G","2012","Geotrygon saphirina"
"Grallaria przewalskii","LC","VU","G","2012","Grallaria przewalskii"
"Grallaricula flavirostris","LC","NT","G","2012","Grallaricula flavirostris"
"Gyps africanus","NT","EN","G","2012","Gyps africanus"
"Gyps rueppellii","NT","EN","G","2012","Gyps rueppellii"
"Heliodoxa gularis","NT","VU","G","2012","Heliodoxa gularis"
"Hemispingus parodii","LC","NT","G","2012","Hemispingus parodii"
"Herpsilochmus axillaris","LC","VU","G","2012","Herpsilochmus axillaris"
"Herpsilochmus motacilloides","LC","NT","G","2012","Herpsilochmus motacilloides"
"Hylexetastes brigidai","LC","VU","G","2012","Hylexetastes brigidai"
"Hylexetastes uniformis","LC","VU","G","2012","Hylexetastes uniformis"
"Hylophilus olivaceus","LC","NT","G","2012","Hylophilus olivaceus"
"Hypocnemis cantator","LC","NT","G","2012","Hypocnemis cantator"
"Lepidothrix iris","LC","VU","G","2012","Lepidothrix iris"
"Lepidothrix isidorei","LC","NT","G","2012","Lepidothrix isidorei"
"Leptopogon taczanowskii","LC","NT","G","2012","Leptopogon taczanowskii"
"Lophornis gouldii","LC","VU","G","2012","Lophornis gouldii"
"Lorius domicella","VU","EN","G","2012","Lorius domicella"
"Melanitta fusca","LC","EN","G","2012","Anas fusca"
"Melanitta fusca","LC","EN","G","2012","Melanitta fusca"
"Mitu tomentosum","LC","NT","G","2012","Mitu tomentosum"
"Myrmoborus lugubris","LC","VU","G","2012","Myrmoborus lugubris"
"Myrmoborus melanurus","NT","VU","G","2012","Myrmoborus melanurus"
"Myrmornis torquata","LC","NT","G","2012","Myrmornis torquata"
"Myrmotherula gutturalis","LC","NT","G","2012","Myrmotherula gutturalis"
"Myrmotherula surinamensis","LC","VU","G","2012","Myrmotherula surinamensis"
"Neomorphus squamiger","NT","VU","G","2012","Neomorphus squamiger"
"Nothocercus nigrocapillus","LC","VU","G","2012","Nothocercus nigrocapillus"
"Odontophorus gujanensis","LC","NT","G","2012","Odontophorus gujanensis"
"Odontophorus speciosus","LC","NT","G","2012","Odontophorus speciosus"
"Odontorchilus cinereus","LC","NT","G","2012","Odontorchilus cinereus"
"Pachycephala rufogularis","NT","VU","G","2012","Pachycephala rufogularis"
"Patagioenas subvinacea","LC","VU","G","2012","Patagioenas subvinacea"
"Penelope pileata","NT","VU","G","2012","Penelope pileata"
"Percnostola lophotes","LC","NT","G","2012","Percnostola lophotes"
"Phlogophilus hemileucurus","NT","VU","G","2012","Phlogophilus hemileucurus"
"Phylloscartes gualaquizae","LC","NT","G","2012","Phylloscartes gualaquizae"
"Picumnus minutissimus","LC","NT","G","2012","Picumnus minutissimus"
"Picumnus spilogaster","LC","VU","G","2012","Picumnus spilogaster"
"Picumnus steindachneri","VU","EN","G","2012","Picumnus steindachneri"
"Picumnus varzeae","LC","EN","G","2012","Picumnus varzeae"
"Pionites leucogaster","LC","VU","G","2012","Pionites leucogaster"
"Pipile cumanensis","LC","VU","G","2012","Pipile cumanensis"
"Podiceps gallardoi","EN","CR","G","2012","Podiceps gallardoi"
"Poecilotriccus luluae","VU","EN","G","2012","Poecilotriccus luluae"
"Pomarea dimidiata","EN","VU","G","2012","Pomarea dimidiata"
"Prioniturus verticalis","EN","CR","G","2012","Prioniturus verticalis"
"Psophia viridis","LC","EN","G","2012","Psophia viridis"
"Pteroglossus bitorquatus","LC","NT","G","2012","Pteroglossus bitorquatus"
"Puffinus yelkouan","NT","VU","G","2012","Puffinus yelkouan"
"Pyrilia barrabandi","LC","NT","G","2012","Pyrilia barrabandi"
"Pyrilia caica","LC","NT","G","2012","Pyrilia caica"
"Pyrilia vulturina","LC","VU","G","2012","Pyrilia vulturina"
"Pyrrhura lepida","NT","VU","G","2012","Pyrrhura lepida"
"Pyrrhura perlata","LC","VU","G","2012","Pyrrhura perlata"
"Pyrrhura rupicola","LC","NT","G","2012","Pyrrhura rupicola"
"Ramphastos ambiguus","LC","VU","G","2012","Ramphastos ambiguus"
"Rhegmatorhina gymnops","LC","VU","G","2012","Rhegmatorhina gymnops"
"Rhegmatorhina hoffmannsi","LC","NT","G","2012","Rhegmatorhina hoffmannsi"
"Sclerurus albigularis","LC","NT","G","2012","Sclerurus albigularis"
"Sericossypha albocristata","LC","VU","G","2012","Sericossypha albocristata"
"Snowornis subalaris","LC","NT","G","2012","Snowornis subalaris"
"Spizaetus ornatus","LC","NT","G","2012","Spizaetus ornatus"
"Sterna acuticauda","NT","EN","G","2012","Sterna acuticauda"
"Synallaxis cabanisi","LC","NT","G","2012","Synallaxis cabanisi"
"Synallaxis kollari","EN","CR","G","2012","Synallaxis kollari"
"Synallaxis maranonica","VU","CR","G","2012","Synallaxis maranonica"
"Synallaxis moesta","LC","NT","G","2012","Synallaxis moesta"
"Tangara argyrofenges","LC","VU","G","2012","Tangara argyrofenges"
"Thamnophilus cryptoleucus","LC","NT","G","2012","Thamnophilus cryptoleucus"
"Thamnophilus nigrocinereus","LC","NT","G","2012","Thamnophilus nigrocinereus"
"Thamnophilus tenuepunctatus","LC","VU","G","2012","Thamnophilus tenuepunctatus"
"Thinornis rubricollis","NT","VU","G","2012","Thinornis rubricollis"
"Tinamus guttatus","LC","NT","G","2012","Tinamus guttatus"
"Tinamus major","LC","NT","G","2012","Tinamus major"
"Tinamus tao","LC","VU","G","2012","Tinamus tao"
"Touit huetii","LC","VU","G","2012","Touit huetii"
"Xanthomyza phrygia","EN","CR","G","2012","Xanthomyza phrygia"
"Xipholena lamellipennis","LC","NT","G","2012","Xipholena lamellipennis"
"Zebrilus undulatus","LC","NT","G","2012","Zebrilus undulatus"
"Zimmerius cinereicapilla","LC","VU","G","2012","Zimmerius cinereicapilla"
"Calamaria ingeri","EN","CR","G","2012","Calamaria ingeri"
"Cyclura lewisi","CR","EN","G","2012","Cyclura lewisi"
"Naja siamensis","LC","VU","G","2012","Naja siamensis"
"Anodonthyla hutchisoni","DD","EN","G","2012","Anodonthyla hutchisoni"
"Leptoxis taeniata","VU","EN","G","2012","Leptoxis taeniata"
"Marstonia ozarkensis","DD","CR","G","2012","Marstonia ozarkensis"
"Potamilus capax","CR","VU","G","2012","Potamilus capax"
"Pyrgulopsis metcalfi","VU","EN","G","2012","Pyrgulopsis metcalfi"
"Pyrgulopsis roswellensis","DD","VU","G","2012","Pyrgulopsis roswellensis"
"Pyrgulopsis thompsoni","VU","NT","G","2012","Pyrgulopsis thompsoni"
"Pyrgulopsis trivialis","DD","CR","G","2012","Pyrgulopsis trivialis"
"Stagnicola bonnevillensis","VU","CR","G","2012","Stagnicola bonnevillensis"
"Borassus madagascariensis","VU","EN","G","2012","Borassus madagascariensis"
"Dypsis andrianatonga","LR/nt","VU","G","2012","Dypsis andrianatonga"
"Dypsis basilonga","EN","CR","G","2012","Dypsis basilonga"
"Dypsis malcomberi","VU","EN","G","2012","Dypsis malcomberi"
"Dypsis mcdonaldiana","VU","EN","G","2012","Dypsis mcdonaldiana"
"Dypsis sahanofensis","EN","CR","G","2012","Dypsis sahanofensis"
"Masoala madagascariensis","VU","CR","G","2012","Masoala madagascariensis"
"Newtonia erlangeri","LR/nt","EN","G","2012","Newtonia erlangeri"
"Ravenea lakatra","EN","CR","G","2012","Ravenea lakatra"
"Ravenea louvelii","EN","CR","G","2012","Ravenea louvelii"
"Tayassu pecari","NT","VU","G","2013","Tayassu pecari"
"Urocyon littoralis","CR","NT","G","2013","Urocyon littoralis"
"Acrocephalus rodericanus","EN","NT","G","2013","Acrocephalus rodericanus"
"Acrocephalus sorghophilus","VU","EN","G","2013","Acrocephalus sorghophilus"
"Ardeotis kori","LC","NT","G","2013","Ardeotis kori"
"Cacatua alba","VU","EN","G","2013","Cacatua alba"
"Emberiza aureola","VU","EN","G","2013","Emberiza aureola"
"Eupodotis afra","LC","VU","G","2013","Eupodotis afra"
"Foudia flavicans","VU","NT","G","2013","Foudia flavicans"
"Garrulax rufifrons","NT","EN","G","2013","Garrulax rufifrons"
"Oriolus mellianus","VU","EN","G","2013","Oriolus mellianus"
"Oryzoborus maximiliani","NT","VU","G","2013","Oryzoborus maximiliani"
"Phalacrocorax capensis","NT","EN","G","2013","Phalacrocorax capensis"
"Picoides borealis","VU","NT","G","2013","Picoides borealis"
"Polemaetus bellicosus","NT","VU","G","2013","Polemaetus bellicosus"
"Sarothrura ayresi","EN","CR","G","2013","Sarothrura ayresi"
"Thalassarche chrysostoma","VU","EN","G","2013","Thalassarche chrysostoma"
"Dermochelys coriacea","CR","VU","G","2013","Dermochelys coriacea"
"Balebreviceps hillmani","EN","CR","G","2013","Balebreviceps hillmani"
"Duellmanohyla uranochroa","CR","EN","G","2013","Duellmanohyla uranochroa"
"Lithobates vibicarius","CR","VU","G","2013","Lithobates vibicarius"
"Mannophryne olmonae","CR","VU","G","2013","Mannophryne olmonae"
"Melanophryniscus admirabilis","NT","CR","G","2013","Melanophryniscus admirabilis"
"Cyprinodon pecosensis","CR","VU","G","2013","Cyprinodon pecosensis"
"Dionda diaboli","VU","EN","G","2013","Dionda diaboli"
"Ictalurus pricei","VU","EN","G","2013","Ictalurus pricei"
"Noturus taylori","VU","EN","G","2013","Noturus taylori"
"Oregonichthys crameri","VU","LC","G","2013","Oregonichthys crameri"
"Percina antesella","VU","EN","G","2013","Percina antesella"
"Percina cymatotaenia","EN","VU","G","2013","Percina cymatotaenia"
"Percina jenkinsi","VU","CR","G","2013","Percina jenkinsi"
"Plagopterus argentissimus","VU","CR","G","2013","Plagopterus argentissimus"
"Pogonichthys macrolepidotus","EN","LC","G","2013","Pogonichthys macrolepidotus"
"Cedrus atlantica","LC","EN","G","2013","Cedrus atlantica"
"Chamaecyparis lawsoniana","VU","NT","G","2013","Chamaecyparis lawsoniana"
"Nageia maxima","VU","EN","G","2013","Nageia maxima"
"Nageia motleyi","LC","VU","G","2013","Nageia motleyi"
"Picea purpurea","LC","NT","G","2013","Picea purpurea"
"Pinus albicaulis","VU","EN","G","2013","Pinus albicaulis"
"Pinus coulteri","LC","NT","G","2013","Pinus coulteri"
"Pinus durangensis","LC","NT","G","2013","Pinus durangensis"
"Pinus radiata","LR/cd","EN","G","2013","Pinus radiata"
"Podocarpus confertus","LC","EN","G","2013","Podocarpus confertus"
"Podocarpus ridleyi","LC","VU","G","2013","Podocarpus ridleyi"
"Podocarpus rumphii","LC","NT","G","2013","Podocarpus rumphii"
"Podocarpus teysmannii","LC","NT","G","2013","Podocarpus teysmannii"
"Podocarpus urbanii","NT","CR","G","2013","Podocarpus urbanii"
"Taxus chinensis","LC","EN","G","2013","Taxus chinensis"
"Taxus globosa","NT","EN","G","2013","Taxus globosa"
"Tsuga canadensis","LC","NT","G","2013","Tsuga canadensis"
"Widdringtonia whytei","EN","CR","G","2013","Widdringtonia whytei"
"Ariocarpus scaphirostris","VU","EN","G","2013","Ariocarpus scaphirostris"
"Cereus mirabella","VU","EN","G","2013","Cereus mirabella"
"Discocactus horstii","EN","VU","G","2013","Discocactus horstii"
"Diospyros katendei","CR","CR(PE)","G","2013","Diospyros katendei"
"Mammillaria aureilanata","VU","EN","G","2013","Mammillaria aureilanata"
"Mammillaria guelzowiana","CR","LC","G","2013","Mammillaria guelzowiana"
"Micranthocereus albicephalus","NT","VU","G","2013","Micranthocereus albicephalus"
"Pereskia aureiflora","VU","EN","G","2013","Pereskia aureiflora"
"Rhipsalis oblonga","NT","VU","G","2013","Rhipsalis oblonga"
"Thelocactus hastifer","VU","EN","G","2013","Thelocactus hastifer"
"Avahi laniger","LC","VU","G","2014","Avahi laniger"
"Daubentonia madagascariensis","NT","EN","G","2014","Daubentonia madagascariensis"
"Eulemur albifrons","VU","EN","G","2014","Eulemur albifrons"
"Eulemur cinereiceps","EN","CR","G","2014","Eulemur cinereiceps"
"Eulemur collaris","VU","EN","G","2014","Eulemur collaris"
"Eulemur coronatus","VU","EN","G","2014","Eulemur coronatus"
"Eulemur mongoz","VU","CR","G","2014","Eulemur mongoz"
"Hapalemur aureus","EN","CR","G","2014","Hapalemur aureus"
"Indri indri","EN","CR","G","2014","Indri indri"
"Lemur catta","NT","EN","G","2014","Lemur catta"
"Lepilemur edwardsi","VU","EN","G","2014","Lepilemur edwardsi"
"Manis crassicaudata","NT","EN","G","2014","Manis crassicaudata"
"Mirza coquereli","NT","EN","G","2014","Mirza coquereli"
"Mirza zaza","VU","EN","G","2014","Mirza zaza"
"Phaner electromontis","VU","EN","G","2014","Phaner electromontis"
"Phaner furcifer","LC","VU","G","2014","Phaner furcifer"
"Phaner pallescens","LC","EN","G","2014","Phaner pallescens"
"Phaner parienti","VU","EN","G","2014","Phaner parienti"
"Propithecus deckenii","VU","EN","G","2014","Propithecus deckenii"
"Propithecus diadema","EN","CR","G","2014","Propithecus diadema"
"Propithecus tattersalli","EN","CR","G","2014","Propithecus tattersalli"
"Propithecus verreauxi","VU","EN","G","2014","Propithecus verreauxi"
"Varecia rubra","EN","CR","G","2014","Varecia rubra"
"Accipiter erythrauchen","LC","NT","G","2014","Accipiter erythrauchen"
"Anodorhynchus hyacinthinus","EN","VU","G","2014","Anodorhynchus hyacinthinus"
"Brachyramphus brevirostris","CR","NT","G","2014","Brachyramphus brevirostris"
"Didunculus strigirostris","EN","CR","G","2014","Didunculus strigirostris"
"Eulidia yarrellii","EN","CR","G","2014","Eulidia yarrellii"
"Falco fasciinucha","NT","VU","G","2014","Falco fasciinucha"
"Falco punctatus","VU","EN","G","2014","Falco punctatus"
"Liocichla bugunorum","VU","CR","G","2014","Liocichla bugunorum"
"Pica nuttalli","LC","NT","G","2014","Pica nuttalli"
"Prioniturus luconensis","VU","EN","G","2014","Prioniturus luconensis"
"Altiphrynoides osgoodi","VU","CR(PE)","G","2014","Altiphrynoides osgoodi"
"Andinobates dorisswansonae","CR","VU","G","2014","Andinobates dorisswansonae"
"Andinobates tolimensis","EN","VU","G","2014","Andinobates tolimensis"
"Acanthobrama telavivensis","EW","VU","G","2014","Acanthobrama telavivensis"
"Anguilla bicolor","LC","NT","G","2014","Anguilla bicolor"
"Catostomus santaanae","VU","EN","G","2014","Catostomus santaanae"
"Chasmistes cujus","CR","EN","G","2014","Chasmistes cujus"
"Cyprinodon diabolis","VU","CR","G","2014","Cyprinodon diabolis"
"Hypomesus transpacificus","EN","CR","G","2014","Hypomesus transpacificus"
"Luciobarbus longiceps","VU","EN","G","2014","Luciobarbus longiceps"
"Typhlogarra widdowsoni","VU","CR","G","2014","Typhlogarra widdowsoni"
"Plectostoma retrovertens","VU","CR(PE)","G","2014","Plectostoma retrovertens"
"Sculptiferussacia clausiliaeformis","VU","EN","G","2014","Sculptiferussacia clausiliaeformis"
"Polposipus herculeanus","CR","VU","G","2014","Polposipus herculeanus"
"Labidura herculeana","CR","EX","G","2014","Labidura herculeana"
"Riekoperla darlingtoni","VU","CR","G","2014","Riekoperla darlingtoni"
"Agathis montana","NT","CR","G","2014","Agathis montana"
"Magnolia calimaensis","EN","CR","G","2014","Magnolia calimaensis"
"Magnolia cararensis","EN","CR","G","2014","Magnolia cararensis"
"Magnolia colombiana","VU","CR","G","2014","Magnolia colombiana"
"Magnolia grandis","VU","CR","G","2014","Magnolia grandis"
"Magnolia katiorum","EN","CR","G","2014","Magnolia katiorum"
"Magnolia ovoidea","EN","CR","G","2014","Magnolia ovoidea"
"Magnolia polyhypsophylla","EN","CR","G","2014","Magnolia polyhypsophylla"
"Magnolia rostrata","VU","EN","G","2014","Magnolia rostrata"
"Magnolia urraoensis","VU","EN","G","2014","Magnolia urraoensis"
"Magnolia virolinensis","VU","CR","G","2014","Magnolia virolinensis"
"Costus geothyrsus","VU","CR","G","2014","Costus geothyrsus"
"Nepenthes klossii","VU","EN","G","2014","Nepenthes klossii"
"Nepenthes sumatrana","LR/lc","CR","G","2014","Nepenthes sumatrana"
"Arctocephalus townsendi","NT","LC","G","2015","Arctocephalus townsendi"
"Capra falconeri","EN","NT","G","2015","Capra falconeri"
"Caracal aurata","NT","VU","G","2015","Caracal aurata"
"Dendrohyrax validus","LC","NT","G","2015","Dendrohyrax validus"
"Fossa fossana","NT","VU","G","2015","Fossa fossana"
"Lynx pardinus","CR","EN","G","2015","Lynx pardinus"
"Mungotictis decemlineata","VU","EN","G","2015","Mungotictis decemlineata"
"Phocarctos hookeri","VU","EN","G","2015","Phocarctos hookeri"
"Acrocephalus sechellensis","VU","NT","G","2015","Acrocephalus sechellensis"
"Alca torda","LC","NT","G","2015","Alca torda"
"Amytornis dorotheae","NT","VU","G","2015","Amytornis dorotheae"
"Anas chlorotis","EN","NT","G","2015","Anas chlorotis"
"Anthus pratensis","LC","NT","G","2015","Alauda pratensis"
"Anthus pratensis","LC","NT","G","2015","Anthus pratensis"
"Aquila nipalensis","LC","EN","G","2015","Aquila nipalensis"
"Calidris canutus","LC","NT","G","2015","Calidris canutus"
"Calidris ferruginea","LC","NT","G","2015","Tringa Ferrugineus"
"Calidris ferruginea","LC","NT","G","2015","Calidris ferruginea"
"Calidris ruficollis","LC","NT","G","2015","Calidris ruficollis"
"Calidris tenuirostris","VU","EN","G","2015","Calidris tenuirostris"
"Camarhynchus pallidus","LC","VU","G","2015","Camarhynchus pallidus"
"Camarhynchus psittacula","LC","VU","G","2015","Camarhynchus psittacula"
"Fratercula arctica","LC","VU","G","2015","Fratercula arctica"
"Gyps africanus","EN","CR","G","2015","Gyps africanus"
"Gyps coprotheres","VU","EN","G","2015","Gyps coprotheres"
"Gyps rueppelli","EN","CR","G","2015","Gyps rueppellii"
"Gyps rueppelli","EN","CR","G","2015","Gyps rueppelli"
"Larus audouinii","NT","LC","G","2015","Larus audouinii"
"Lathamus discolor","EN","CR","G","2015","Lathamus discolor"
"Limosa lapponica","LC","NT","G","2015","Limosa lapponica"
"Melanitta fusca","EN","VU","G","2015","Anas fusca"
"Melanitta fusca","EN","VU","G","2015","Melanitta fusca"
"Necrosyrtes monachus","EN","CR","G","2015","Necrosyrtes monachus"
"Numenius madagascariensis","VU","EN","G","2015","Numenius madagascariensis"
"Pterodroma axillaris","EN","VU","G","2015","Pterodroma axillaris"
"Rhinoplax vigil","NT","CR","G","2015","Rhinoplax vigil"
"Torgos tracheliotos","VU","EN","G","2015","Torgos tracheliotos"
"Trigonoceps occipitalis","VU","CR","G","2015","Trigonoceps occipitalis"
"Psammobates geometricus","EN","CR","G","2015","Psammobates geometricus"
"Leiopelma hamiltoni","EN","VU","G","2015","Leiopelma hamiltoni"
"Rhinella atacamensis","LC","VU","G","2015","Rhinella atacamensis"
"Coryphopterus hyalinus","LC","VU","G","2015","Coryphopterus hyalinus"
"Maniola chia","LC","NT","G","2015","Maniola chia"
"Magnolia lotungensis","LR/nt","EN","G","2015","Magnolia lotungensis"
"Magnolia odora","LR/nt","VU","G","2015","Magnolia odora"
"Ailuropoda melanoleuca","EN","VU","G","2016","Ailuropoda melanoleuca"
"Antechinus bellus","LC","VU","G","2016","Antechinus bellus"
"Cephalophus dorsalis","LC","NT","G","2016","Cephalophus dorsalis"
"Cephalophus leucogaster","LC","NT","G","2016","Cephalophus leucogaster"
"Cephalophus silvicultor","LC","NT","G","2016","Cephalophus silvicultor"
"Conilurus penicillatus","NT","VU","G","2016","Conilurus penicillatus"
"Dasyurus viverrinus","NT","EN","G","2016","Dasyurus viverrinus"
"Dendrolagus spadix","LC","VU","G","2016","Dendrolagus spadix"
"Desmana moschata","VU","EN","G","2016","Desmana moschata"
"Equus quagga","LC","NT","G","2016","Equus quagga"
"Eupleres goudotii","EN","VU","G","2016","Eupleres goudotii"
"Galidictis fasciata","NT","VU","G","2016","Galidictis fasciata"
"Giraffa camelopardalis","LC","VU","G","2016","Giraffa camelopardalis"
"Gorilla beringei","EN","CR","G","2016","Gorilla beringei"
"Gymnobelideus leadbeateri","EN","CR","G","2016","Gymnobelideus leadbeateri"
"Hipposideros hypophyllus","EN","CR","G","2016","Hipposideros hypophyllus"
"Leporillus conditor","VU","NT","G","2016","Leporillus conditor"
"Melomys rubicola","CR","EX","G","2016","Melomys rubicola"
"Mesembriomys gouldii","NT","VU","G","2016","Mesembriomys gouldii"
"Muntiacus atherodes","LC","NT","G","2016","Muntiacus atherodes"
"Muntiacus vuquangensis","EN","CR","G","2016","Muntiacus vuquangensis"
"Notomys cervinus","VU","NT","G","2016","Notomys cervinus"
"Nyctalus lasiopterus","NT","VU","G","2016","Nyctalus lasiopterus"
"Onychogalea fraenata","EN","VU","G","2016","Onychogalea fraenata"
"Ornithorhynchus anatinus","LC","NT","G","2016","Ornithorhynchus anatinus"
"Pantholops hodgsonii","EN","NT","G","2016","Pantholops hodgsonii"
"Perameles gunnii","NT","VU","G","2016","Perameles gunnii"
"Petauroides volans","LC","VU","G","2016","Petauroides volans"
"Petaurus australis","LC","NT","G","2016","Petaurus australis"
"Petrogale godmani","LC","NT","G","2016","Petrogale godmani"
"Petrogale lateralis","NT","VU","G","2016","Petrogale lateralis"
"Petrogale mareeba","LC","NT","G","2016","Petrogale mareeba"
"Petrogale purpureicollis","LC","NT","G","2016","Petrogale purpureicollis"
"Phascolarctos cinereus","LC","VU","G","2016","Phascolarctos cinereus"
"Pongo pygmaeus","EN","CR","G","2016","Pongo pygmaeus"
"Pteropus caniceps","NT","VU","G","2016","Pteropus caniceps"
"Pteropus livingstonii","EN","CR","G","2016","Pteropus livingstonii"
"Thylamys fenestrae","LC","NT","G","2016","Thylamys fenestrae"
"Thylamys velutinus","LC","NT","G","2016","Thylamys velutinus"
"Charadrius sanctaehelenae","CR","VU","G","2016","Charadrius sanctaehelenae"
"Chloropsis sonnerati","LC","VU","G","2016","Chloropsis sonnerati"
"Cyanoramphus forbesi","EN","VU","G","2016","Cyanoramphus forbesi"
"Emberiza rustica","LC","VU","G","2016","Emberiza rustica"
"Garrulax bicolor","VU","EN","G","2016","Garrulax bicolor"
"Garrulax rufifrons","EN","CR","G","2016","Garrulax rufifrons"
"Hydrobates leucorhous","LC","VU","G","2016","Hydrobates leucorhoa"
"Hydrobates leucorhous","LC","VU","G","2016","Oceanodroma leucorhoa"
"Hydrobates leucorhous","LC","VU","G","2016","Hydrobates leucorhous"
"Icterus oberi","CR","VU","G","2016","Icterus oberi"
"Pycnonotus zeylanicus","VU","EN","G","2016","Pycnonotus zeylanicus"
"Pygoscelis adeliae","NT","LC","G","2016","Pygoscelis adeliae"
"Pygoscelis papua","NT","LC","G","2016","Pygoscelis papua"
"Pyrrhula murina","EN","VU","G","2016","Pyrrhula murina"
"Sternula balaenarum","NT","VU","G","2016","Sternula balaenarum"
"Terenura sicki","EN","CR","G","2016","Terenura sicki"
"Zosterops flavus","NT","VU","G","2016","Zosterops flavus"
"Zosterops modestus","EN","VU","G","2016","Zosterops modestus"
"Acanthochelys pallidipectoris","VU","EN","G","2016","Acanthochelys pallidipectoris"
"Ameiva corvina","VU","CR","G","2016","Ameiva corvina"
"Chelonoidis abingdonii","EW","EX","G","2016","Chelonoidis abingdonii"
"Cyclanorbis elegans","LR/nt","CR","G","2016","Cyclanorbis elegans"
"Cyclanorbis senegalensis","LR/nt","VU","G","2016","Cyclanorbis senegalensis"
"Cycloderma frenatum","LR/nt","EN","G","2016","Cycloderma frenatum"
"Erythrolamprus cursor","CR","CR(PE)","G","2016","Erythrolamprus cursor"
"Erythrolamprus ornatus","EN","CR","G","2016","Erythrolamprus ornatus"
"Geochelone elegans","LR/lc","VU","G","2016","Geochelone elegans"
"Liolaemus dicktracyi","LC","VU","G","2016","Liolaemus dicktracyi"
"Mesoclemmys hogei","EN","CR","G","2016","Mesoclemmys hogei"
"Podocnemis lewyana","EN","CR","G","2016","Podocnemis lewyana"
"Arius festinus","EN","CR","G","2016","Arius festinus"
"Bedotia longianalis","LC","EN","G","2016","Bedotia longianalis"
"Bedotia marojejy","VU","EN","G","2016","Bedotia marojejy"
