"Species","PrvCategory","PstCategory","ReasonForChange","RedListVersion"
"Presbytis melalophos","LR/nt","EN","G","2008"
"Presbytis thomasi","LR/nt","VU","G","2008"
"Pygathrix cinerea","EN","CR","G","2008"
"Trachypithecus obscurus","LR/lc","NT","G","2008"
"Hylobates agilis","LR/nt","EN","G","2008"
"Hylobates albibarbis","LR/nt","EN","G","2008"
"Hylobates klossii","VU","EN","G","2008"
"Hylobates lar","LR/nt","EN","G","2008"
"Hylobates muelleri","LR/nt","EN","G","2008"
"Nomascus concolor","EN","CR","G","2008"
"Symphalangus syndactylus","LR/nt","EN","G","2008"
"Nycticebus coucang","LR/lc","VU","G","2008"
"Tarsius bancanus","LR/lc","VU","G","2008"
"Abrothrix illuteus","LR/lc","NT","G","2008"
"Abrothrix sanborni","LR/lc","NT","G","2008"
"Akodon latebricola","LR/lc","VU","G","2008"
"Akodon surdus","LR/lc","VU","G","2008"
"Arborimus longicaudus","LR/lc","NT","G","2008"
"Arvicola sapidus","LR/nt","VU","G","2008"
"Calomys hummelincki","LR/lc","VU","G","2008"
"Mesocricetus brandti","LR/lc","NT","G","2008"
"Microtus oaxacensis","LR/nt","EN","G","2008"
"Microtus quasiater","LR/lc","NT","G","2008"
"Microtus umbrosus","LR/lc","EN","G","2008"
"Neotoma palatina","LR/nt","VU","G","2008"
"Reithrodontomys microdon","LR/nt","VU","G","2008"
"Reithrodontomys spectabilis","EN","CR","G","2008"
"Sigmodon alleni","LR/lc","VU","G","2008"
"Thomasomys hylophilus","LR/lc","EN","G","2008"
"Wilfredomys oenax","LR/lc","EN","G","2008"
"Xenomys nelsoni","LR/nt","EN","G","2008"
"Ctenomys australis","LR/lc","EN","G","2008"
"Allactaga vinogradovi","LR/lc","NT","G","2008"
"Pappogeomys alcorni","VU","CR","G","2008"
"Chaetodipus goldmani","LR/lc","VU","G","2008"
"Dipodomys nitratoides","LR/nt","VU","G","2008"
"Gerbillus gleadowi","LR/lc","NT","G","2008"
"Maxomys rajah","LR/lc","VU","G","2008"
"Maxomys whiteheadi","LR/lc","VU","G","2008"
"Nesokia bunnii","LR/nt","EN","G","2008"
"Niviventer cremoriventer","LR/lc","VU","G","2008"
"Pseudomys fumeus","VU","EN","G","2008"
"Pseudomys novaehollandiae","LR/lc","VU","G","2008"
"Rattus richardsoni","LR/lc","VU","G","2008"
"Solomys ponceleti","EN","CR","G","2008"
"Solomys salebrosus","LR/nt","EN","G","2008"
"Solomys sapientis","VU","EN","G","2008"
"Uromys neobritannicus","LR/lc","EN","G","2008"
"Zyzomys maini","LR/lc","NT","G","2008"
"Octodon bridgesi","LR/lc","VU","G","2008"
"Octodon pacificus","VU","CR","G","2008"
"Callosciurus adamsi","LR/lc","VU","G","2008"
"Callosciurus melanogaster","LR/lc","VU","G","2008"
"Marmota sibirica","LR/lc","EN","G","2008"
"Marmota vancouverensis","EN","CR","G","2008"
"Petaurista nobilis","LR/nt","VU","G","2008"
"Petinomys genibarbis","LR/lc","VU","G","2008"
"Petinomys lugens","LR/nt","EN","G","2008"
"Petinomys setosus","LR/lc","VU","G","2008"
"Petinomys vordermanni","LR/lc","VU","G","2008"
"Pteromyscus pulverulentus","LR/nt","EN","G","2008"
"Ratufa bicolor","LR/lc","NT","G","2008"
"Rhinosciurus laticaudatus","LR/lc","NT","G","2008"
"Rubrisciurus rubriventer","LR/lc","VU","G","2008"
"Spermophilus perotensis","LR/nt","EN","G","2008"
"Spermophilus xanthoprymnus","LR/lc","NT","G","2008"
"Spalax arenarius","VU","EN","G","2008"
"Spalax zemni","LR/lc","VU","G","2008"
"Ducula galeata","CR","EN","G","2008"
"Apteryx owenii","VU","NT","G","2008"
"Aythya baeri","VU","EN","G","2008"
"Sterna nereis","LC","VU","G","2008"
"Eurynorhynchus pygmeus","EN","CR","G","2008"
"Numenius arquata","LC","NT","G","2008"
"Ducula finschii","LC","NT","G","2008"
"Ducula rubricera","LC","NT","G","2008"
"Reinwardtoena browni","LC","NT","G","2008"
"Centropus violaceus","LC","NT","G","2008"
"Accipiter princeps","NT","VU","G","2008"
"Pauxi pauxi","VU","EN","G","2008"
"Tetrao mlokosiewiczi","DD","NT","G","2008"
"Atrichornis rufescens","NT","VU","G","2008"
"Coracina newtoni","EN","CR","G","2008"
"Corvus kubaryi","EN","CR","G","2008"
"Loxops caeruleirostris","EN","CR","G","2008"
"Stipiturus mallee","VU","EN","G","2008"
"Melidectes whitemanensis","LC","NT","G","2008"
"Mimus trifasciatus","EN","CR","G","2008"
"Megalurulus grosvenori","DD","VU","G","2008"
"Sylvia undata","LC","NT","G","2008"
"Diomedea dabbenena","EN","CR","G","2008"
"Cacatua ophthalmica","LC","VU","G","2008"
"Ninox odiosa","LC","VU","G","2008"
"Tyto aurantia","DD","VU","G","2008"
"Crocodylus rhombifer","EN","CR","G","2008"
"Erymnochelys madagascariensis","EN","CR","G","2008"
"Astrochelys radiata","VU","CR","G","2008"
"Astrochelys yniphora","EN","CR","G","2008"
"Pyxis arachnoides","VU","CR","G","2008"
"Pyxis planicauda","EN","CR","G","2008"
"Thorius macdougalli","EN","VU","G","2008"
