"accepted_id","accepted_name","synonym"
170856,"Atlantica textilis","Discus textilis"
170856,"Atlantica textilis","Helix textilis"
170856,"Atlantica textilis","Atlantica textilis"
170858,"Carpathica boettgeri","Bilania boettgeri"
170858,"Carpathica boettgeri","Daudebardia boettgeri"
170858,"Carpathica boettgeri","Carpathica boettgeri"
170862,"Morlina glabra","Helix glabra"
170862,"Morlina glabra","Morlina glabra"
170863,"Zonites labiosus","Zonites kumanensis"
170863,"Zonites labiosus","Zonites olympicus"
170863,"Zonites labiosus","Zonites labiosus"
170864,"Dilataria marcki","Clausila marcki"
170864,"Dilataria marcki","Dilataria marcki"
170867,"Albinaria menelaus","Clausilia menelaus"
170867,"Albinaria menelaus","Albinaria menelaus"
170869,"Dobatia goettingi","Serrulina goettingi"
170869,"Dobatia goettingi","Dobatia goettingi"
170871,"Amphorella hypselia","Achatina producta"
170871,"Amphorella hypselia","Ferrussacia producta"
170871,"Amphorella hypselia","Ferussacia hypselia"
170871,"Amphorella hypselia","Glandina producta"
170871,"Amphorella hypselia","Lovea producta"
170871,"Amphorella hypselia","Amphorella hypselia"
170873,"Punctum pygmaeum","Helix pygmæa"
170873,"Punctum pygmaeum","Punctum massoti"
170873,"Punctum pygmaeum","Punctum simoniana"
170873,"Punctum pygmaeum","Punctum pygmaeum"
170875,"Spelaeodiscus hauffeni","Helix hauffeni"
170875,"Spelaeodiscus hauffeni","Spelaeodiscus hauffeni"
170876,"Retinella osoriensis","Hyalina osoriensis"
170876,"Retinella osoriensis","Retinella osoriensis"
170877,"Aegopis compressus","Aegopis compressus subsp. deplanatus"
170877,"Aegopis compressus","Aegopis compressus subsp. lardeus"
170877,"Aegopis compressus","Helix compressus"
170877,"Aegopis compressus","Aegopis compressus"
170881,"Delima subcylindrica","Clausilia geophila"
170881,"Delima subcylindrica","Clausilia pupaeformis"
170881,"Delima subcylindrica","Clausilia pupula"
170881,"Delima subcylindrica","Clausilia salambonica"
170881,"Delima subcylindrica","Clausilia subcylindrica"
170881,"Delima subcylindrica","Delima subcylindrica"
170882,"Albinaria nivea","Clausilia nivea"
170882,"Albinaria nivea","Albinaria nivea"
