"taxonid","scientific_name","region_identifier","1965","1978","1982","1983","1985","1986","1988","1990","1994","1996","1997","1998","2000","2002","2003","2004","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","current_category","synonym"
59,"Acanthinula spinifera","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA
81,"Salmo ohridanus","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA
215,"Acicula norrisi","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,"VU",NA
217,"Acicula hausdorfi","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA
224,"Acipenser naccarii","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR","CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR","CR",NA
225,"Acipenser nudiventris","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA
227,"Acipenser ruthenus","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA
229,"Acipenser stellatus","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA
230,"Acipenser sturio","europe&",NA,NA,NA,NA,NA,NA,"EN","EN","EN","CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,"CR",NA
232,"Acipenser gueldenstaedtii","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA
235,"Acipenser persicus","europe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CR",NA
269,"Acomys minous","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,"DD",NA
271,"Acomys nesiotes","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,"DD",NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,NA,NA,NA,"DD",NA,NA,NA,NA,NA,"DD",NA
499,"Actinella actinophora","europe&",NA,NA,NA,NA,NA,NA,NA,NA,"VU","NT",NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA
500,"Plebecula anaglyptica","europe&",NA,NA,NA,NA,NA,NA,NA,NA,"VU","VU",NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA
501,"Actinella armitageana","europe&",NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA
502,"Actinella carinofausta","europe&",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NT",NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,"EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EN",NA
503,"Domunculifex littorinella","europe&",NA,NA,NA,NA,NA,NA,NA,"EN","EN","VU",NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA
504,"Actinella fausta","europe&",NA,NA,NA,NA,NA,NA,NA,NA,"EN","NT",NA,NA,"NT",NA,NA,NA,NA,NA,NA,NA,"LC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"LC",NA
505,"Plebecula giramica","europe&",NA,NA,NA,NA,NA,NA,NA,NA,"VU","NT",NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,"VU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VU",NA
