Scientific name,Common name,"IUCN Red List(2016)Category","IUCN RedList (2017)Category","Reason forchange","Red Listversion"
Bubo scandiacus,Snowy Owl,LC,VU,N,2017-3
Buteo trizonatus,Forest Buzzard,LC,NT,N,2017-3
Cacomantis aeruginosus,Moluccan Cuckoo,NT,LC,N,2017-3
Calcarius ornatus,Chestnut-collared Longspur,NT,VU,N,2017-3
Casuarius casuarius,Southern Cassowary,VU,LC,N,2017-3
Casuarius unappendiculatus,Northern Cassowary,VU,LC,N,2017-3
Certhidea olivacea,Green Warbler-finch,LC,VU,N,2017-3
Ceyx gentianus,San Cristobal Dwarf-kingfisher,NT,LC,N,2017-3
Chaetops aurantius,Drakensberg Rockjumper,LC,NT,N,2017-3
Chaetops frenatus,Cape Rockjumper,LC,NT,N,2017-3
Charadrius obscurus,Southern Red-breasted Plover,EN,CR,G,2017-3
Cinnyris ursulae,Ursula's Sunbird,NT,LC,N,2017-3
Circus maurus,Black Harrier,VU,EN,N,2017-3
Cisticola aberdare,Aberdare Cisticola,EN,VU,N,2017-3
Conothraupis mesoleuca,Cone-billed Tanager,CR,EN,N,2017-3
Coua verreauxi,Verreaux's Coua,NT,LC,N,2017-3
Crithagra leucoptera,Protea Canary,LC,NT,N,2017-3
Crithagra melanochroa,Kipengere Seedeater,NT,LC,N,2017-3
Cryptospiza shelleyi,Shelley's Crimsonwing,VU,EN,N,2017-3
Cyanoramphus novaezelandiae,Red-fronted Parakeet,NT,LC,N,2017-3
Cyclopsitta coxeni,Coxen's Fig-parrot,CR,EN,N,2017-3
Dendrocitta bayleii,Andaman Treepie,NT,VU,N,2017-3
Dendropicos dorae,Arabian Woodpecker,VU,NT,N,2017-3
Dicaeum proprium,Whiskered Flowerpecker,NT,LC,N,2017-3
Dicrurus andamanensis,Andaman Drongo,NT,LC,N,2017-3
Diomedea antipodensis,Antipodean Albatross,VU,EN,G,2017-3
Dryocopus hodgei,Andaman Woodpecker,NT,VU,N,2017-3
Emberiza aureola,Yellow-breasted Bunting,EN,CR,G,2017-3
Emberiza socotrana,Socotra Bunting,VU,NT,N,2017-3
Epimachus fastosus,Black Sicklebill,VU,LC,N,2017-3
Eriocnemis mirabilis,Colorful Puffleg,CR,EN,N,2017-3
Estrilda poliopareia,Anambra Waxbill,VU,NT,N,2017-3
Eumyias albicaudatus,Nilgiri Flycatcher,NT,LC,N,2017-3
Eunymphicus uvaeensis,Ouvea Parakeet,EN,VU,N,2017-3
Euptilotis neoxenus,Eared Quetzal,NT,LC,N,2017-3
Falco concolor,Sooty Falcon,NT,VU,N,2017-3
Ficedula nigrorufa,Black-and-orange Flycatcher,NT,LC,N,2017-3
Fraseria tessmanni,Tessmann's Flycatcher,DD,LC,N,2017-3
Garrulax mitratus,Chestnut-capped Laughingthrush,LC,NT,G,2017-3
Geocolaptes olivaceus,Ground Woodpecker,LC,NT,N,2017-3
