Scientific name,Common name,"IUCN Red List(2011)Category","IUCN RedList (2012)Category","Reason forchange","Red Listversion"
MAMMALS,,,,,
Eumetopias jubatus,Steller Sea Lion,EN,NT,G,2012.2
Vulpes pallida,Pale Fox,DD,LC,N,2012.2
"",,,,,
BIRDS,,,,,
Accipiter poliogaster,Gray-bellied Hawk,LC,NT,G,2012.1
Aceros cassidix,Knobbed Hornbill,LC,VU,N,2012.1
Actophilornis albinucha,Madagascar Jacana,LC,NT,N,2012.1
Agamia agami,Agami Heron,LC,VU,G,2012.1
Alectoris graeca,Rock Partridge,LC,NT,N,2012.1
Amazona auropalliata,Yellow-naped Amazon,LC,VU,N,2012.1
Amazona festiva,Festive Amazon,LC,VU,G,2012.1
Amazona kawalli,Kawall's Amazon,LC,NT,G,2012.1
Amytornis dorotheae,Carpentarian Grasswren,VU,NT,N,2012.1
Amytornis housei,Black Grasswren,LC,NT,G,2012.1
Amytornis merrotsyi,Short-tailed Grasswren,LC,NT,G,2012.1
Aphelocoma insularis,Island Scrub-jay,NT,VU,G,2012.1
Aptenodytes forsteri,Emperor Penguin,LC,NT,N,2012.1
Arborophila gingica,Rickett's Hill-partridge,VU,NT,N,2012.1
Ardeotis arabs,Arabian Bustard,LC,NT,N,2012.1
Ardeotis australis,Australian Bustard,NT,LC,N,2012.1
Arremon castaneiceps,Olive Finch,LC,NT,G,2012.1
Asthenes helleri,Puna Thistletail,LC,VU,G,2012.1
Atrichornis clamosus,Noisy Scrub-bird,VU,EN,G,2012.1
Atrichornis rufescens,Rufous Scrub-bird,VU,EN,G,2012.1
Aythya baeri,Baer's Pochard,EN,CR,G,2012.1
Balearica regulorum,Grey Crowned-crane,VU,EN,N,2012.1
Bleda eximius,Green-tailed Bristlebill,VU,NT,N,2012.1
Burhinus grallarius,Bush Thick-knee,NT,LC,N,2012.1
Bycanistes cylindricus,Brown-cheeked Hornbill,NT,VU,N,2012.1
Cacicus koepckeae,Selva Cacique,VU,EN,G,2012.1
Calidris pusilla,Semipalmated Sandpiper,LC,NT,G,2012.1
Capito dayi,Black-girdled Barbet,LC,VU,G,2012.1
Capito hypoleucus,White-mantled Barbet,EN,VU,N,2012.1
Carduelis monguilloti,Vietnam Greenfinch,NT,LC,N,2012.1
Cephalopterus glabricollis,Bare-necked Umbrellabird,VU,EN,N,2012.1
Ceratogymna elata,Yellow-casqued Hornbill,NT,VU,N,2012.1
Cercomacra carbonaria,Rio Branco Antbird,NT,CR,G,2012.1
Cissa thalassina*,Short-tailed Green Magpie,LC,CR,N,2012.1
Clangula hyemalis,Long-tailed Duck,LC,VU,G,2012.1
Conirostrum bicolor,Bicoloured Conebill,LC,NT,G,2012.1
Conirostrum margaritae,Pearly-breasted Conebill,LC,VU,G,2012.1
Conopias cinchoneti,Lemon-browed Flycatcher,LC,VU,G,2012.1
