Scientific name,Common name,"IUCN Red List(2009)Category","IUCN RedList (2010)Category","Reason forchange","Red Listversion"
Breviceps gibbosus,Giant Rain Frog,VU,NT,N,2010
Breviceps sopranus,Whistling Rain Frog,DD,LC,N,2010
Breviceps sylvestris,Forest Rain Frog,VU,EN,N,2010
Cacosternum capense,Cape Dainty Frog,VU,NT,N,2010
Cacosternum karooicum,Karoo Dainty Frog,DD,LC,N,2010
Cacosternum striatum,Striped Caco,DD,LC,N,2010
Ghatixalus variabilis,,DD,EN,N,2010
Melanophryniscus spectabilis,,LC,DD,N,2010
Vandijkophrynus amatolicus,Amatola Toad,EN,CR(PE),G,2010
FISHES,,,,,
Acipenser baerii,Siberian Sturgeon,VU,EN,N,2010
Acipenser gueldenstaedtii,Russian Sturgeon,EN,CR,N,2010
Acipenser mikadoi,Sakhalin Sturgeon,EN,CR,N,2010
Acipenser naccarii,Adriatic Sturgeon,VU,CR(PE),N,2010
Acipenser nudiventris,Ship Sturgeon,EN,CR,N,2010
Acipenser persicus,Persian Sturgeon,EN,CR,N,2010
Acipenser schrenckii,Amur Sturgeon,EN,CR,N,2010
Acipenser sinensis,Chinese Sturgeon,EN,CR,N,2010
Acipenser stellatus,Stellate Sturgeon,EN,CR,N,2010
Alosa alabamae,Alabama Shad,EN,DD,N,2010
Aphyosemion alpha,,NT,EN,N,2010
Aphyosemion louessense,,LC,VU,N,2010
Barbus deguidei,,LC,DD,N,2010
Barbus luapulae,,DD,LC,N,2010
Benitochromis batesii,,LC,VU,N,2010
Butis butis,Butis butis,LR/nt,LC,N,2010
Centropyge resplendens,Resplendent Pygmy Angelfish,VU,LC,N,2010
Chaetodon flavocoronatus,Yellow-crowned Butterflyfish,VU,LC,N,2010
Chaetodon litus,Easter Island Butterflyfish,VU,LC,N,2010
Chaetodon marleyi,Doublesash Butterflyfish,VU,LC,N,2010
Chaetodon robustus,Three-banded Butterflyfish,VU,LC,N,2010
Chiloglanis lufirae,,CR,DD,N,2010
Chiloglanis reticulatus,,LC,DD,N,2010
Eleotris melanosoma,Broadhead Sleeper,LR/nt,LC,N,2010
Epiplatys esekanus,,DD,LC,N,2010
Fundulopanchax mirabilis,,LC,DD,N,2010
Fundulus waccamensis,Waccamaw Killifish,VU,EN,G,2010
Grasseichthys gabonensis,,LC,VU,N,2010
Haplochromis aelocephalus,,VU,CR(PE),N,2010
Haplochromis arcanus,,EX,DD,N,2010
Haplochromis artaxerxes,,EX,DD,N,2010
Haplochromis bartoni,,EX,DD,N,2010
Haplochromis bayoni,,CR,DD,N,2010
Haplochromis boops,,EX,DD,N,2010
Haplochromis cassius,,EX,CR(PE),N,2010
Haplochromis cavifrons,,CR,DD,N,2010
Haplochromis chilotes,,VU,LC,N,2010
Haplochromis chromogynos,,CR,VU,N,2010
Haplochromis cryptodon,,EN,DD,N,2010
Haplochromis decticostoma,,EX,DD,N,2010
Haplochromis dentex,,EX,CR(PE),N,2010
Haplochromis estor,,EX,DD,N,2010
Haplochromis flavipinnis,,EX,CR(PE),N,2010
Haplochromis flavus,,EN,LC,N,2010
Haplochromis gilberti,,EX,DD,N,2010
Haplochromis gowersi,,EX,DD,N,2010
Haplochromis howesi,Smok,CR,VU,N,2010
Haplochromis ishmaeli,,EW,CR(PE),N,2010
Haplochromis lividus,,EW,DD,N,2010
Haplochromis longirostris,,EX,CR(PE),N,2010
Haplochromis macrognathus,,EX,CR(PE),N,2010
Haplochromis maculipinna,,CR,DD,N,2010
Haplochromis megalops,,CR,VU,N,2010
Haplochromis nigrescens,,EX,DD,N,2010
Haplochromis nubilus,,DD,VU,N,2010
Haplochromis nyanzae,,EX,DD,N,2010
Haplochromis obliquidens,,NT,VU,N,2010
Haplochromis obtusidens,,EX,DD,N,2010
Haplochromis pachycephalus,,EX,DD,N,2010
Haplochromis paraguiarti,,EX,DD,N,2010
Haplochromis paraplagiostoma,,EX,DD,N,2010
Haplochromis perrieri,,EW,CR(PE),N,2010
Haplochromis pharyngomylus,,EX,DD,N,2010
Haplochromis phytophagus,,CR,DD,N,2010
Haplochromis piceatus,,CR,VU,N,2010
Haplochromis plagiodon,,EN,VU,N,2010
Haplochromis plagiostoma,,CR,DD,N,2010
Haplochromis prognathus,,EX,DD,N,2010
Haplochromis pseudopellegrini,,EX,DD,N,2010
Haplochromis pyrrhocephalus,,VU,LC,N,2010
Haplochromis saxicola,,VU,DD,N,2010
Haplochromis serranus,,NT,DD,N,2010
Haplochromis spekii,,CR,DD,N,2010
Haplochromis thuragnathus,,EX,DD,N,2010
Hippocampus sindonis,Dhiho's Seahorse,DD,LC,N,2010
Hoplotilapia retrodens,,EX,VU,N,2010
Huso dauricus,Kaluga,EN,CR,G,2010
Huso huso,Beluga,EN,CR,G,2010
Hypsopanchax modestus,Ruwenzori Lampeye,DD,LC,N,2010
Lithochromis rubripinnis,,CR,LC,N,2010
Lithochromis rufus,,CR,LC,N,2010
Lithochromis xanthopteryx,Black Pseudo-nigricans,CR,VU,N,2010
Macrognathus aral,Spiny Eel,DD,LC,N,2010
Macropleurodus bicolor,,CR,VU,N,2010
Nannocharax hollyi,,LC,DD,N,2010
Nannocharax ogoensis,,LC,DD,N,2010
Neochromis greenwoodi,Velvet Black,VU,LC,N,2010
Neochromis nigricans,,LC,DD,N,2010
Neochromis simotes,,CR,DD,N,2010
Nothobranchius symoensi,,LC,EN,N,2010
Notropis semperasper,Roughhead Shiner,DD,VU,N,2010
Noturus lachneri,Ouachita Madtom,VU,EN,N,2010
Ogilbia galapagosensis,Galapagos Cuskeel,DD,VU,N,2010
Oligolepis keiensis,Kei Goby,LR/nt,LC,N,2010
Parailia occidentalis,,DD,LC,N,2010
Parakneria lufirae,,LC,DD,N,2010
Platytaeniodus degeni,,EW,LC,N,2010
Poeciliopsis elongata,Elongate Toothcarp,LC,NT,N,2010
Priolepis robinsi,,LR/nt,LC,N,2010
Prognathodes obliquus,Oblique Butterflyfish,VU,DD,N,2010
Pseudoscaphirhynchus kaufmanni,False Shovelnose Sturgeon,EN,CR,N,2010
Pundamilia macrocephala,,EN,VU,N,2010
Pyxichromis parorthostoma,,EX,DD,N,2010
Scarus guacamaia,Rainbow Parrotfish,VU,DD,N,2010
Schilbe mystus,African Butter Catfish,VU,LC,N,2010
Schistura sijuensis,,VU,EN,N,2010
Steatocranus rouxi,,LC,DD,N,2010
Synodontis multimaculatus,,LC,DD,N,2010
Synodontis nigrita,Catfish,DD,LC,N,2010
Thalassoma ascensionis,Greenfish,VU,DD,N,2010
Tilapia flava,,VU,CR,N,2010
Trachyglanis intermedius,,LC,DD,N,2010
Xyrauchen texanus,Razorback Sucker,EN,CR,G,2010
ODONATA,,,,,
Allocnemis mitwabae,,DD,NT,N,2010
Anax bangweuluensis,Swamp Emperor,DD,NT,N,2010
Anisopleura subplatystyla,,NT,LC,N,2010
Asiagomphus personatus,,DD,NT,N,2010
Azuragrion buchholzi,,DD,NT,N,2010
