Scientific name,Common name,"IUCN Red List(2007)Category","IUCN RedList (2008)Category",Reason for change,"Red Listversion"
Sarcophilus harrisii,Tasmanian Devil,LR/lc,EN,G,2008
Myrmecobius fasciatus,Numbat,VU,EN,G,2008
Burramys parvus,Mountain Pygmy Possum,EN,CR,G,2008
Dendrolagus mbaiso,Dingiso,VU,CR,G,2008
Dendrolagus scottae,Tenkile,EN,CR,G,2008
Dorcopsis luctuosa,Grey Dorcopsis,LR/lc,VU,G,2008
Dorcopsulus vanheurni,Small Dorcopsis,LR/lc,NT,G,2008
Petaurus abidi,Northern Glider,VU,CR,G,2008
Phalanger lullulae,Woodlark Cuscus,LR/lc,EN,G,2008
Phalanger matanim,Telefomin Cuscus,EN,CR,G,2008
Spilocuscus kraemeri,Admiralty Cuscus,LR/lc,NT,G,2008
Spilocuscus rufoniger,Black-spotted Cuscus,EN,CR,G,2008
Bettongia penicillata,Woylie,LR/cd,CR,G,2008
Pseudochirops coronatus,Reclusive Ringtail,LR/lc,VU,G,2008
Ochotona iliensis,Ili Pika,VU,EN,G,2008
Equus hemionus,Asiatic Wild Ass,VU,EN,G,2008
Manis javanica,Sunda Pangolin,LR/nt,EN,G,2008
Manis pentadactyla,Chinese Pangolin,LR/nt,EN,G,2008
Saguinus niger,Black-handed Tamarin,LC,VU,G,2008
Macaca hecki,Heck's Macaque,LR/nt,VU,G,2008
Macaca nigra,Celebes Crested Macaque,EN,CR,G,2008
Macaca tonkeana,Tonkean Macaque,LR/nt,VU,G,2008
Presbytis melalophos,Sumatran Surili,LR/nt,EN,G,2008
Presbytis thomasi,Thomas’s Langur,LR/nt,VU,G,2008
Pygathrix cinerea,Grey-shanked Douc Langur,EN,CR,G,2008
Trachypithecus obscurus,Dusky Leaf-monkey,LR/lc,NT,G,2008
Hylobates agilis,Agile Gibbon,LR/nt,EN,G,2008
Hylobates albibarbis,Bornean White-bearded Gibbon,LR/nt,EN,G,2008
Hylobates klossii,Kloss’s Gibbon,VU,EN,G,2008
Hylobates lar,Lar Gibbon,LR/nt,EN,G,2008
Hylobates muelleri,Müller's Bornean Gibbon,LR/nt,EN,G,2008
Nomascus concolor,Black Crested Gibbon,EN,CR,G,2008
Symphalangus syndactylus,Siamang,LR/nt,EN,G,2008
Nycticebus coucang,Greater Slow Loris,LR/lc,VU,G,2008
Tarsius bancanus,Horsfield’s Tarsier,LR/lc,VU,G,2008
Abrothrix illuteus,Gray Grass Mouse,LR/lc,NT,G,2008
Abrothrix sanborni,Sanborn's Grass Mouse,LR/lc,NT,G,2008
Akodon latebricola,Ecuadorean Grass Mouse,LR/lc,VU,G,2008
Akodon surdus,Silent Grass Mouse,LR/lc,VU,G,2008
Arborimus longicaudus,Red Tree Vole,LR/lc,NT,G,2008
Arvicola sapidus,Southern Water Vole,LR/nt,VU,G,2008
Calomys hummelincki,Hummelinck's Vesper Mouse,LR/lc,VU,G,2008
Mesocricetus brandti,Brandt's Hamster,LR/lc,NT,G,2008
Microtus oaxacensis,Tarabundi Vole,LR/nt,EN,G,2008
Microtus quasiater,Japalapan Pine Vole,LR/lc,NT,G,2008
Microtus umbrosus,Zepoal Tepec Vole,LR/lc,EN,G,2008
Neotoma palatina,Bolano's Woodrat,LR/nt,VU,G,2008
Reithrodontomys microdon,Small-toothed Harvest Mouse,LR/nt,VU,G,2008
Reithrodontomys spectabilis,Cozumel Harvest Mouse,EN,CR,G,2008
Sigmodon alleni,Allen's Cotton Rat,LR/lc,VU,G,2008
Thomasomys hylophilus,Woodland Oldfield Mouse,LR/lc,EN,G,2008
Wilfredomys oenax,Greater Wilfred's Mouse,LR/lc,EN,G,2008
Xenomys nelsoni,Magedelena Wood Rat,LR/nt,EN,G,2008
Ctenomys australis,Southern Tuco-tuco,LR/lc,EN,G,2008
Allactaga vinogradovi,Vinogradov's Jerboa,LR/lc,NT,G,2008
Pappogeomys alcorni,Alcorn's Pocket Gopher,VU,CR,G,2008
Chaetodipus goldmani,Goldman's Pocket Mouse,LR/lc,VU,G,2008
Dipodomys nitratoides,Fresno Kangaroo Rat,LR/nt,VU,G,2008
Gerbillus gleadowi,Little Hairy-footed Gerbil,LR/lc,NT,G,2008
Maxomys rajah,Rajah Sundaic Maxomys,LR/lc,VU,G,2008
Maxomys whiteheadi,Whitehead’s Sundaic Maxomys,LR/lc,VU,G,2008
Nesokia bunnii,Bunn's Short-Tailed Bandicoot Rat,LR/nt,EN,G,2008
Niviventer cremoriventer,Sundaic Arboreal Niviventer,LR/lc,VU,G,2008
Pseudomys fumeus,Smoky Mouse,VU,EN,G,2008
Pseudomys novaehollandiae,New Holland Mouse,LR/lc,VU,G,2008
Rattus richardsoni,Glacier Rat,LR/lc,VU,G,2008
Solomys ponceleti,Poncelet's Giant Rat,EN,CR,G,2008
Solomys salebrosus,Bougainville Giant Rat,LR/nt,EN,G,2008
Solomys sapientis,Isabel Giant Rat,VU,EN,G,2008
Uromys neobritannicus,Bismarck Giant Rat,LR/lc,EN,G,2008
Zyzomys maini,Arnhem Land Rock Rat,LR/lc,NT,G,2008
Octodon bridgesi,Bridges's Degu,LR/lc,VU,G,2008
Octodon pacificus,,VU,CR,G,2008
Callosciurus adamsi,Ear-spot Squirrel,LR/lc,VU,G,2008
Callosciurus melanogaster,Mentawai Squirrel,LR/lc,VU,G,2008
Marmota sibirica,Mongolian marmot,LR/lc,EN,G,2008
Marmota vancouverensis,Vancouver Island Marmot,EN,CR,G,2008
Petaurista nobilis,Bhutan Giant Flying Squirrel,LR/nt,VU,G,2008
Petinomys genibarbis,Whiskered Flying Squirrel,LR/lc,VU,G,2008
Petinomys lugens,Siberut Flying Squirrel,LR/nt,EN,G,2008
Petinomys setosus,Temminck's Flying Squirrel,LR/lc,VU,G,2008
