Scientific name,Common name,"IUCN Red List(2020)Category","IUCN RedList (2021)Category","Reason forchange","Red Listversion"
"",,,,,
MAMMALS (Mammalia),,,,,
Alouatta sara,Bolivian Red Howler Monkey,LC,NT,G,2021-1
Anomalurus pelii,Pel's Flying Squirrel,DD,LC,N,2021-3
Aotus zonalis,Panamanian Night Monkey,DD,NT,N,2021-1
Capricornis rubidus,Red Serow,NT,VU,N,2021-3
Cebus brunneus,Venezuelan Brown Capuchin,LC,EN,N,2021-2
Chalinolobus tuberculatus,New Zealand Long-tailed Bat,VU,CR,G,2021-1
Crocidura allex,East African Highland Shrew,VU,LC,N,2021-2
Crocidura buettikoferi,Buettikofer's Shrew,NT,LC,N,2021-2
Echiothrix centrosa,Central Sulawesi Echiothrix,VU,NT,N,2021-3
Eonycteris major,Greater Dawn Bat,DD,NT,N,2021-1
Falsistrellus tasmaniensis,Eastern False Pipistrelle,LC,VU,N,2021-1
Galemys pyrenaicus,Pyrenean Desman,VU,EN,G,2021-3
Haeromys minahassae,Lowland Sulawesi Haeromys,VU,NT,N,2021-3
Hapalomys delacouri,Lesser Marmoset Rat,VU,NT,N,2021-3
Harpyionycteris celebensis,Sulawesi Harpy Fruit Bat,VU,NT,N,2021-1
Hipposideros dinops,Fierce Leaf-nosed Bat,DD,VU,N,2021-3
Hipposideros madurae,Maduran Leaf-nosed Bat,LC,NT,N,2021-2
Hipposideros sorenseni,Sorensen's Leaf-nosed Bat,VU,EN,N,2021-2
Hipposideros stenotis,Northern Leaf-nosed Bat,LC,VU,N,2021-1
Hyperoodon ampullatus,Northern Bottlenose Whale,DD,NT,N,2021-1
Kerivoula myrella,Manus Island Woolly Bat,DD,VU,N,2021-1
Leontopithecus caissara,Black-faced Lion Tamarin,CR,EN,N,2021-3
Loxodonta africana,African Savanna Elephant,VU,EN,N,2021-1
Meriones dahli,Dahl's Jird,EN,CR,G,2021-3
Mico leucippe,Golden-white Bare-ear Marmoset,VU,LC,N,2021-1
Mico marcai,Marca’s Marmoset,DD,VU,N,2021-3
Miniopterus paululus,Philippine Long-fingered Bat,DD,LC,N,2021-2
Myosorex tenuis,Thin Mouse Shrew,DD,EN,N,2021-3
Myotis frater,Fraternal Myotis,DD,LC,N,2021-2
Myotis stalkeri,Stalker's Myotis,DD,LC,N,2021-3
Nyctophilus microdon,Small-toothed Long-eared Bat,DD,LC,N,2021-3
Otomys lacustris,Tanzanian Vlei Rat,VU,LC,N,2021-3
Phoniscus papuensis,Golden-tipped Bat,LC,VU,G,2021-1
Pithecia hirsuta,Hairy Saki,DD,LC,N,2021-3
Plecturocebus olallae,Olalla Brothers’ Titi,EN,CR,G,2021-1
Plerotes anchietae,D'Anchieta's Fruit Bat,DD,LC,N,2021-1
Praomys degraaffi,De Graaff's Praomys,VU,LC,N,2021-3
Presbytis femoralis,Banded Leaf Monkey,VU,CR,N,2021-3
Pteropus capistratus,New Britain Masked Flying Fox,NT,VU,N,2021-3
Pteropus howensis,Ontong Java Flying Fox,DD,CR,N,2021-1
Rhinolophus arcuatus,Arcuate Horseshoe Bat,LC,DD,N,2021-3
Rousettus leschenaultii,Leschenault’s Rousette,LC,NT,N,2021-3
Saimiri oerstedii,Black-crowned Central American Squirrel Mo,keyVU,EN,N,2021-1
Saimiri vanzolinii,Black Squirrel Monkey,VU,EN,N,2021-1
Scotonycteris zenkeri,Zenker's Fruit Bat,LC,NT,N,2021-1
Solomys salebrosus,Bougainville Giant Rat,EN,VU,N,2021-3
Syconycteris carolinae,Halmaheran Blossom Bat,VU,NT,N,2021-1
Trachypithecus barbei,Tenasserim Lutung,DD,VU,N,2021-1
BIRDS (Aves),,,,,
Acridotheres melanopterus,Black-winged Myna,CR,EN,G,2021-3
Alca torda,Razorbill,NT,LC,N,2021-3
Amazilia lilliae,Sapphire-bellied Hummingbird,CR,EN,N,2021-3
Amazona auropalliata,Yellow-naped Amazon,EN,CR,G,2021-3
Amazona barbadensis,Yellow-shouldered Amazon,VU,NT,N,2021-3
Anas aucklandica,Auckland Teal,VU,NT,N,2021-3
Androphobus viridis,Papuan Whipbird,DD,LC,N,2021-3
Anthus antarcticus,South Georgia Pipit,NT,LC,G,2021-3
Anthus pratensis,Meadow Pipit,NT,LC,G,2021-3
Arcanator orostruthus,Dapple-throat,VU,NT,N,2021-3
Arizelocichla milanjensis,Stripe-cheeked Bulbul,LC,NT,N,2021-3
Arizelocichla montana,Cameroon Mountain Greenbul,NT,LC,N,2021-3
Asthenes heterura,Maquis Canastero,NT,LC,N,2021-3
Asthenes huancavelicae,Huancavelica Canastero,NT,LC,N,2021-3
Asthenes usheri,White-tailed Canastero,VU,NT,N,2021-3
Atlapetes melanopsis,Black-spectacled Brush-finch,EN,NT,N,2021-3
Batis reichenowi,Reichenow's Batis,LC,NT,N,2021-3
Bradypterus graueri,Grauer's Swamp-warbler,EN,VU,N,2021-3
Branta sandvicensis,Hawaiian Goose,VU,NT,G,2021-3
Brotogeris pyrrhoptera,Grey-cheeked Parakeet,EN,VU,G,2021-3
Campylorhamphus multostriatus,Xingu Scythebill,LC,NT,G,2021-3
