Scientific name,Common name,"IUCN Red List(2017)Category","IUCN RedList (2018)Category","Reason forchange","Red Listversion"
Leucosticte australis,Brown-capped Rosy-finch,LC,EN,N,2018-2
Lonchura oryzivora,Java Sparrow,VU,EN,G,2018-2
Lophotriorchis kienerii,Rufous-bellied Eagle,LC,NT,N,2018-2
Melanerpes erythrocephalus,Red-headed Woodpecker,NT,LC,G,2018-2
Micromacronus sordidus,Mindanao Miniature Babbler,DD,NT,N,2018-2
Microspingus cinereus,Cinereous Warbling-finch,VU,LC,N,2018-2
Mirafra williamsi,Williams's Lark,DD,LC,N,2018-2
Myiarchus semirufus,Rufous Flycatcher,EN,VU,N,2018-2
Myiomela albiventris,White-bellied Blue Robin,EN,VU,N,2018-2
Nesoenas mayeri,Pink Pigeon,EN,VU,G,2018-2
Odontophorus strophium,Gorgeted Wood-quail,EN,VU,N,2018-2
Oreothraupis arremonops,Tanager Finch,VU,LC,N,2018-2
Oriolia bernieri,Bernier's Vanga,VU,EN,G,2018-2
Otus alius,Nicobar Scops-owl,DD,NT,N,2018-2
Passerculus henslowii,Henslow's Sparrow,NT,LC,G,2018-2
Passerina ciris,Painted Bunting,NT,LC,N,2018-2
Penelope albipennis,White-winged Guan,CR,EN,N,2018-2
Penelope barbata,Bearded Guan,VU,NT,N,2018-2
Phaethornis aethopygus,Tapajos Hermit,NT,VU,N,2018-2
Phytotoma raimondii,Peruvian Plantcutter,EN,VU,N,2018-2
Pica nutalli,Yellow-billed Magpie,NT,VU,N,2018-2
Ploceus grandis,Giant Weaver,LC,NT,N,2018-2
Prinia familiaris,Bar-winged Prinia,LC,NT,G,2018-2
Psittacula longicauda,Long-tailed Parakeet,NT,VU,G,2018-2
Pternistis atrifrons,Black-fronted Francolin,LC,EN,N,2018-2
Pternistis harwoodi,Harwood's Francolin,VU,NT,N,2018-2
Pterodroma sandwichensis,Hawaiian Petrel,VU,EN,G,2018-2
Ptilinopus chrysogaster,Raiatea Fruit-dove,NT,EN,N,2018-2
Puffinus newelli,Newell's Shearwater,EN,CR,G,2018-2
Pycnonotus zeylanicus,Straw-headed Bulbul,EN,CR,G,2018-2
Quiscalus quiscula,Common Grackle,LC,NT,N,2018-2
Rhabdotorrhinus corrugatus,Wrinkled Hornbill,NT,EN,N,2018-2
Rheinardia ocellata,Crested Argus,NT,EN,N,2018-2
Rhyticeros undulatus,Wreathed Hornbill,LC,VU,N,2018-2
Scytalopus latebricola,Brown-rumped Tapaculo,LC,NT,N,2018-2
Scytalopus novacapitalis,Brasilia Tapaculo,NT,EN,N,2018-2
Selasphorus rufus,Rufous Hummingbird,LC,NT,N,2018-2
Setophaga striata,Blackpoll Warbler,LC,NT,N,2018-2
Sitta insularis,Bahama Nuthatch,EN,CR,G,2018-2
Somateria fischeri,Spectacled Eider,LC,NT,G,2018-2
Spelaeornis kinneari,Pale-throated Wren-babbler,NT,VU,N,2018-2
Sterna striata,White-fronted Tern,LC,NT,N,2018-2
Strix chacoensis,Chaco Owl,LC,NT,N,2018-2
Sturnella magna,Eastern Meadowlark,LC,NT,N,2018-2
Tachybaptus pelzelnii,Madagascar Grebe,VU,EN,G,2018-2
Taoniscus nanus,Dwarf Tinamou,VU,EN,N,2018-2
Temnotrogon roseigaster,Hispaniolan Trogon,NT,LC,N,2018-2
Torreornis inexpectata,Zapata Sparrow,EN,VU,N,2018-2
Treron sanctithomae,Sao Tome Green-pigeon,VU,EN,N,2018-2
Trochalopteron ngoclinhense,Golden-winged Laughingthrush,VU,EN,N,2018-2
Turdus olivaceofuscus,Sao Tome Thrush,NT,LC,N,2018-2
Turdus swalesi,La Selle Thrush,EN,VU,N,2018-2
Vireo bellii,Bell's Vireo,NT,LC,N,2018-2
Zonotrichia querula,Harris's Sparrow,LC,NT,N,2018-2
Zosterops feae,Sao Tome White-eye,VU,NT,N,2018-2
Zosterops ficedulinus,Principe White-eye,VU,EN,N,2018-2
"",,,,,
REPTILES,,,,,
Acontias poecilus,Variable Legless Skink,EN,DD,N,2018-2
Acontias richardi,Richard's Legless Skink,NT,DD,N,2018-2
Acontias rieppeli,Woodbush Legless Skink,EN,NT,N,2018-2
Afroedura hawequensis,Hawequa Flat Gecko,NT,LC,N,2018-2
Anomalopus mackayi,Long-legged Worm-skink,VU,LC,N,2018-1
Aprasia pseudopulchella,Flinders Ranges Worm-lizard,LR/nt,LC,N,2018-1
Austrelaps labialis,Pygmy Copperhead,VU,LC,N,2018-1
Bitis albanica,Albany Adder,CR,EN,N,2018-2
Bitis inornata,Plain Mountain Adder,EN,DD,N,2018-2
Bradypodion kentanicum,Kentani Grass Chameleon,VU,NT,N,2018-2
Bradypodion melanocephalum,Durban Dwarf Chameleon,VU,NT,N,2018-2
Bradypodion pumilum,Cape Dwarf Chameleon,VU,NT,N,2018-2
