Scientific name,Common name,"IUCN Red List(2015)Category","IUCN RedList (2016)Category","Reason forchange","Red Listversion"
MAMMALS,,,,,
Abrocoma shistacea,Sierra Del Tontal Chinchilla Rat,DD,LC,N,2016-2
Abrothrix illutea,Gray Akodont,NT,LC,N,2016-3
Acerodon celebensis,Sulawesi Fruit Bat,LC,VU,N,2016-2
Aeromys thomasi,Thomas's Flying Squirrel,DD,LC,N,2016-3
Ailuropoda melanoleuca,Giant Panda,EN,VU,G,2016-2
Alticola olchonensis,Olkhon Mountain Vole,DD,EN,N,2016-3
Anoura cultrata,Handley's Tailless Bat,NT,LC,N,2016-2
Antechinus bellus,Fawn Antechinus,LC,VU,G,2016-2
Apodemus gurkha,Nepalese Field Mouse,EN,LC,N,2016-3
Apomys abrae,Luzon Cordillera Apomys,DD,LC,N,2016-3
Apomys gracilirostris,Large Mondoro Apomys,DD,LC,N,2016-3
Apomys sacobianus,Long-nosed Luzon Apomys,DD,LC,N,2016-3
Arctonyx collaris,Greater Hog Badger,NT,VU,N,2016-1
Arielulus cuprosus,Coppery Sprite,DD,VU,N,2016-2
Brachytarsomys villosa,Hairy-tailed Tree Rat,EN,VU,N,2016-3
Callosciurus adamsi,Ear-spot Squirrel,VU,NT,N,2016-2
Cephalophus dorsalis,Bay Duiker,LC,NT,G,2016-1
Cephalophus leucogaster,White-bellied Duiker,LC,NT,G,2016-1
Cephalophus silvicultor,Yellow-backed Duiker,LC,NT,G,2016-1
Cercocebus atys,Sooty Mangabey,VU,NT,N,2016-1
Chacodelphys formosa,,VU,NT,N,2016-3
Chinchilla chinchilla,Short-tailed Chinchilla,CR,EN,N,2016-2
Chinchilla lanigera,Long-tailed Chinchilla,CR,EN,N,2016-2
Chiroderma improvisum,Guadeloupean Big-eared Bat,VU,EN,N,2016-1
Chiropodomys karlkoopmani,Koopman's Pencil-tailed Tree Mouse,EN,VU,N,2016-3
Chrotogale owstoni,Owston's Civet,VU,EN,N,2016-1
Conilurus penicillatus,Brush-tailed Rabbit-rat,NT,VU,G,2016-1
Crocidura baileyi,Bailey's Shrew,EN,LC,N,2016-3
Crocidura baluensis,Kinabalu Shrew,VU,LC,N,2016-3
