Scientific name,Common name,"IUCN Red List(2014)Category","IUCN RedList (2015)Category","Reason forchange","Red Listversion"
MAMMALS,,,,,
Aonyx capensis,African Clawless Otter,LC,NT,N,2015-2
Ailurus fulgens,Red Panda,VU,EN,N,2015-4
Amorphochilus schnablii,Smoky Bat,EN,VU,N,2015-4
Aonyx congicus,Congo Clawless Otter,LC,NT,N,2015-2
Arctocephalus philippii,Juan Fernández Fur Seal,NT,LC,N,2015-2
Arctocephalus townsendi,Guadalupe Fur Seal,NT,LC,G,2015-2
Balantiopteryx infusca,Ecuadorian Sac-winged Bat,EN,VU,N,2015-4
Capra falconeri,Markhor,EN,NT,G,2015-2
Caracal aurata,African Golden Cat,NT,VU,G,2015-2
Crossarchus ansorgei,Angsorge's Cusimanse,DD,LC,N,2015-4
Dendrohyrax validus,Eastern Tree Hyrax,LC,NT,G,2015-2
Equus hemionus,Asiatic Wild Ass,EN,NT,N,2015-4
Eupleres goudotii,Eastern Falanouc,NT,EN,N,2015-2
Fossa fossana,Spotted Fanaloka,NT,VU,G,2015-4
Genetta bourloni,Bourlon's Genet,NT,VU,N,2015-4
Genetta piscivora,Aquatic Genet,DD,NT,N,2015-4
Hemigalus derbyanus,Banded Civet,VU,NT,N,2015-4
Herpestes fuscus,Brown Mongoose,VU,LC,N,2015-4
Herpestes semitorquatus,Collared Mongoose,DD,NT,N,2015-4
Leopardus geoffroyi,Geoffroy's Cat,NT,LC,N,2015-2
Lontra longicaudis,Neotropical Otter,DD,NT,N,2015-2
Lynx pardinus,Iberian Lynx,CR,EN,G,2015-2
Mazama nana,Brazilian Dwarf Brocket,DD,VU,N,2015-4
Melogale everetti,Bornean Ferret Badger,DD,EN,N,2015-4
Monachus monachus,Mediterranean Monk Seal,CR,EN,N,2015-4
Mungotictis decemlineata,Bokiboky,VU,EN,G,2015-4
Neamblysomus julianae,Juliana's Golden Mole,VU,EN,N,2015-2
Neomonachus schauinslandi,Hawaiian Monk Seal,CR,EN,N,2015-2
Pardofelis marmorata,Marbled Cat,VU,NT,N,2015-4
Phocarctos hookeri,New Zealand Sea Lion,VU,EN,G,2015-2
Phyllonycteris aphylla,Jamaican Flower Bat,LC,CR,N,2015-4
Platyrrhinus chocoensis,Choco Broad-nosed Bat,EN,VU,N,2015-4
Poiana leightoni,West African Oyan,DD,VU,N,2015-4
BIRDS,,,,,
Acrocephalus sechellensis,Seychelles Warbler,VU,NT,G,2015-4
Alca torda,Razorbill,LC,NT,G,2015-4
Amytornis dorotheae,Carpentarian Grasswren,NT,VU,G,2015-4
Anas chlorotis,Brown Teal,EN,NT,G,2015-4
Anthus pratensis,Meadow Pipit,LC,NT,G,2015-4
Aquila nipalensis,Steppe Eagle,LC,EN,G,2015-4
Aythya ferina,Common Pochard,LC,VU,N,2015-4
Branta ruficollis,Red-breasted Goose,EN,VU,N,2015-4
Buteo ventralis,Rufous-tailed hawk,NT,VU,N,2015-4
Calidris canutus,Red Knot,LC,NT,G,2015-4
Calidris ferruginea,Curlew Sandpiper,LC,NT,G,2015-4
Calidris ruficollis,Red-necked Stint,LC,NT,G,2015-4
Calidris tenuirostris,Great Knot,VU,EN,G,2015-4
Calonectris leucomelas,Streaked Shearwater,LC,NT,N,2015-4
Camarhynchus pallidus,Woodpecker Finch,LC,VU,G,2015-4
Camarhynchus psittacula,Large Tree-finch,LC,VU,G,2015-4
Casuarius bennetti,Dwarf Cassowary,NT,LC,N,2015-4
Clytorhynchus nigrogularis,Black-throated Shrikebill,VU,NT,N,2015-4
Coccycolius iris,Emerald Starling,DD,LC,N,2015-4
Ducula cineracea,Timor Imperial-pigeon,EN,NT,N,2015-4
Eleoscytalopus psychopompus,Bahia Tapaculo,CR,EN,N,2015-4
Eudyptes schlegeli,Royal Penguin,VU,NT,N,2015-4
Ficedula semitorquata,Semi-collared Flycatcher,NT,LC,N,2015-4
Forpus cyanopygius,Mexican Parrotlet,LC,NT,N,2015-4
Fratercula arctica,Atlantic Puffin,LC,VU,G,2015-4
Glaucidium sanchezi,Tamaulipas Pygmy-owl,LC,NT,N,2015-4
Gyps africanus,White-backed Vulture,EN,CR,G,2015-4
Gyps coprotheres,Cape Vulture,VU,EN,G,2015-4
Gyps rueppelli,Rüppell's Vulture,EN,CR,G,2015-4
Haematopus ostralegus,Eurasian Oystercatcher,LC,NT,N,2015-4
Larus armenicus,Armenian Gull,LC,NT,N,2015-4
Larus audouinii,Audouin's Gull,NT,LC,G,2015-4
Lathamus discolor,Swift Parrot,EN,CR,G,2015-4
Lichmera notabilis,Black-chested honeyeater,NT,LC,N,2015-4
Limosa lapponica,Bar-tailed Godwit,LC,NT,G,2015-4
Lipaugus weberi,Chestnut-capped Piha,EN,CR,N,2015-4
Mayrornis versicolor,Ogea Monarch,VU,NT,N,2015-4
Melanitta fusca,Velvet Scoter,EN,VU,G,2015-4
Myzomela kuehni,Crimson-hooded Myzomela,NT,LC,N,2015-4
Necrosyrtes monachus,Hooded Vulture,EN,CR,G,2015-4
Numenius madagascariensis,Far Eastern Curlew,VU,EN,G,2015-4
Parotia wahnesi,Wahne's Parotia,VU,NT,N,2015-4
Picus sharpei,Iberian Green Woodpecker,LC,NT,N,2015-4
Podiceps auritus,Horned Grebe,LC,VU,N,2015-4
Poliocephalus rufopectus,New Zealand Grebe,VU,NT,N,2015-4
Pterodroma axillaris,Chatham Petrel,EN,VU,G,2015-4
Ptilinopus huttoni,Rapa Fruit-dove,VU,EN,N,2015-4
Ptychoramphus aleuticus,Cassins' Auklet,LC,NT,N,2015-4
Rhinoplax vigil,Helmeted Hornbill,NT,CR,G,2015-4
Robsonius sorsogonensis,Grey-banded Babbler,VU,NT,N,2015-4
Sitta krueperi,Krueper's Nuthatch,NT,LC,N,2015-4
