Scientific name,Common name,"IUCN Red List(2012)Category","IUCN RedList (2013)Category","Reason forchange","Red Listversion"
Duellmanohyla uranochroa,Costa Rica Brook Frog,CR,EN,G,2013.1
Eleutherodactylus alticola,Jamaican Peak Frog,CR,DD,N,2013.1
Eleutherodactylus cundalli,Cundall's Robber Frog,VU,NT,N,2013.1
Ericabatrachus baleensis,Bale Mountains Frog,EN,CR,N,2013.1
Hoplophryne uluguruensis,Uluguru Blue-bellied Frog,VU,EN,N,2013.2
Hyperolius discodactylus,,VU,LC,N,2013.2
Leptodactylodon axillaris,,EN,CR,N,2013.1
Leptopelis parkeri,,VU,EN,N,2013.2
Leptopelis uluguruensis,,VU,EN,N,2013.2
Leptopelis vannutellii,Dime Forest Treefrog,VU,LC,N,2013.1
Leptopelis yaldeni,Yalden's Tree Frog,NT,VU,N,2013.1
Lithobates vibicarius,Rancho Redondo Frog,CR,VU,G,2013.1
Mannophryne olmonae,Bloody Bay Poison Frog,CR,VU,G,2013.1
Melanophryniscus admirabilis,Red-belly Toad,NT,CR,G,2013.2
Osteopilus pulchrilineatus,Hispaniolan Yellow Treefrog,EN,VU,N,2013.1
Osteopilus vastus,Hispaniolan Giant Treefrog,EN,VU,N,2013.1
Paracassina kounhiensis,Kouni Valley Striped Frog,LC,VU,N,2013.1
Praslinia cooperi,Cooper's Black Caecilian,VU,EN,N,2013.1
Pristimantis charlottevillensis,Charlotteville Robber Frog,VU,LC,N,2013.1
Probreviceps loveridgei,,VU,EN,N,2013.2
Probreviceps macrodactylus,,VU,EN,N,2013.2
Probreviceps rungwensis,,VU,EN,N,2013.2
Probreviceps uluguruensis,,VU,EN,N,2013.2
Ptychadena nana,Somali Grassland Frog,DD,EN,N,2013.1
Sechellophryne gardineri,Gardiner's Seychelles Frog,VU,EN,N,2013.1
Sechellophryne pipilodryas,Seychelles Palm Frog,VU,CR,N,2013.1
Sooglossus sechellensis,Seychelles Frog,VU,EN,N,2013.1
Sooglossus thomasseti,Thomasset's Frog,VU,CR,N,2013.1
Strongylopus merumontanus,,VU,LC,N,2013.2
"",,,,,
FISHES,,,,,
Ambloplites cavifrons,Roanoke Bass,VU,LC,N,2013.1
