"taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
50148978,"ANIMALIA","CNIDARIA","ANTHOZOA","ACTINIARIA","SAGARTIIDAE","Actinothoe","Actinothoe sphyrodeta","(Gosse, 1858)",NA,NA,NA,"DD",NA
50148989,"ANIMALIA","CNIDARIA","ANTHOZOA","ACTINIARIA","SAGARTIIDAE","Cereus","Cereus pedunculatus","(Pennant, 1777)",NA,NA,NA,"LC","Daisy anemone"
50148999,"ANIMALIA","CNIDARIA","ANTHOZOA","ACTINIARIA","SAGARTIIDAE","Sagartia","Sagartia elegans","(Dalyell, 1848)",NA,NA,NA,"LC",NA
50149005,"ANIMALIA","CNIDARIA","ANTHOZOA","ACTINIARIA","SAGARTIIDAE","Sagartia","Sagartia troglodytes","(Price in Johnston, 1847)",NA,NA,NA,"NA",NA
50149015,"ANIMALIA","CNIDARIA","ANTHOZOA","ACTINIARIA","SAGARTIIDAE","Sagartiogeton","Sagartiogeton undatus","(Müller, 1778)",NA,NA,NA,"DD",NA
50149031,"ANIMALIA","CNIDARIA","ANTHOZOA","CORALLIMORPHARIA","CORALLIMORPHIDAE","Corynactis","Corynactis viridis","Allman, 1846",NA,NA,NA,"LC","Jewel Anemone"
50149037,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Caryophyllia","Caryophyllia calveri","Duncan, 1873",NA,NA,NA,"DD",NA
50149039,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Caryophyllia","Caryophyllia cyathus","(Ellis &amp; Solander, 1786)",NA,NA,NA,"DD",NA
50149045,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Caryophyllia","Caryophyllia inornata","(Duncan, 1878)",NA,NA,NA,"LC",NA
50149051,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Caryophyllia","Caryophyllia smithii","Stokes &amp; Broderip, 1828",NA,NA,NA,"LC","Devonshire cup coral"
50149061,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Ceratotrochus","Ceratotrochus magnaghii","Cecchini, 1914",NA,NA,NA,"DD",NA
50149067,"ANIMALIA","CNIDARIA","ANTHOZOA","SCLERACTINIA","CARYOPHYLLIIDAE","Coenocyathus","Coenocyathus anthophyllites","Milne Edwards &amp; Haime, 1848",NA,NA,NA,"DD",NA
