"taxonid","kingdom_name","phylum_name","class_name","order_name","family_name","genus_name","scientific_name","taxonomic_authority","infra_rank","infra_name","population","category","main_common_name"
86802236,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Acmaeops","Acmaeops angusticollis","(Gebler, 1833)",NA,NA,NA,"EN",NA
86802319,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Acmaeops","Acmaeops marginatus","(Fabricius, 1781)",NA,NA,NA,"NT",NA
86802359,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Acmaeops","Acmaeops pratensis","(Laicharting, 1784)",NA,NA,NA,"LC",NA
86802367,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Acmaeops","Acmaeops septentrionis","Thomson, 1866",NA,NA,NA,"LC",NA
86802373,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Acmaeops","Acmaeops smaragdulus","(Fabricius, 1792)",NA,NA,NA,"EN",NA
86802531,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Akimerus","Akimerus schaefferi","(Laicharting, 1784)",NA,NA,NA,"EN",NA
86802539,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Alocerus","Alocerus moesiacus","(Frivaldsky, 1838)",NA,NA,NA,"NT",NA
86802611,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Alosterna","Alosterna ingrica","(Baeckmann, 1902)",NA,NA,NA,"LC",NA
86802697,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Alosterna","Alosterna pauli","Pesarini, Rapuzzi &amp; Sabbadini, 2004",NA,NA,NA,"DD",NA
86802860,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Alosterna","Alosterna tabacicolor","(De Geer, 1775)",NA,NA,NA,"LC",NA
86802938,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Anastrangalia","Anastrangalia dubia","(Scopoli, 1763)",NA,NA,NA,"LC",NA
86803060,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Anastrangalia","Anastrangalia montana","(Mulsant &amp; Rey, 1863)",NA,NA,NA,"LC",NA
86803127,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Anastrangalia","Anastrangalia reyi","(Heyden, 1889)",NA,NA,NA,"LC",NA
86803251,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Anastrangalia","Anastrangalia sanguinolenta","(Linnaeus, 1761)",NA,NA,NA,"LC",NA
86803284,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Anisarthron","Anisarthron barbipes","(Schrank, 1845)",NA,NA,NA,"VU",NA
86803298,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Anisorus","Anisorus quercus","Goeze, 1783",NA,NA,NA,"LC",NA
86803401,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Xestoleptura","Xestoleptura nigroflava","(Fuss, 1852)",NA,NA,NA,"DD",NA
86803423,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Anoplodera","Anoplodera rufipes","(Schaller, 1783)",NA,NA,NA,"LC",NA
86803516,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Anoplodera","Anoplodera sexguttata","(Fabricius, 1775)",NA,NA,NA,"LC",NA
86803937,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Arhopalus","Arhopalus ferus","(Mulsant, 1839)",NA,NA,NA,"LC",NA
86803993,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Arhopalus","Arhopalus pinetorum","(Wollaston, 1863)",NA,NA,NA,"NT",NA
86804028,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Arhopalus","Arhopalus rusticus","(Linnaeus, 1758)",NA,NA,NA,"LC",NA
86804085,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Arhopalus","Arhopalus syriacus","(Reitter, 1895)",NA,NA,NA,"LC",NA
86804105,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Asemum","Asemum striatum","(Linnaeus, 1758)",NA,NA,NA,"LC",NA
86804425,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Asemum","Asemum tenuicorne","Kraatz, 1879",NA,NA,NA,"NT",NA
86804451,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Cortodera","Cortodera humeralis","(Schaller, 1783)",NA,NA,NA,"LC",NA
86804971,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Dinoptera","Dinoptera collaris","(Linnaeus, 1758)",NA,NA,NA,"LC",NA
86804998,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Drymochares","Drymochares cylindraceus","(Fairmaire, 1849)",NA,NA,NA,"EN",NA
86805020,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Drymochares","Drymochares truquii","Mulsant, 1847",NA,NA,NA,"EN",NA
86805032,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Enoploderes","Enoploderes sanguineus","Faldermann, 1837",NA,NA,NA,"EN",NA
86805056,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Evodinus","Evodinus borealis","(Gyllenhal, 1827)",NA,NA,NA,"LC",NA
86805067,"ANIMALIA","ARTHROPODA","INSECTA","COLEOPTERA","CERAMBYCIDAE","Evodinus","Evodinus clathratus","(Fabricius, 1792)",NA,NA,NA,"LC",NA
